caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t10-s100,Default pass + party challenge vouchers t=10 s=1.00,9000,60.000,5115,34.100,60.000,0.568,1.000,0.519,0.479,0.295,0.112,0.432,0.000,0.000,0.500,0.408,0.288,0.380,0.548,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t10-s125,Default pass + party challenge vouchers t=10 s=1.25,9000,60.000,5106,34.040,60.000,0.567,1.000,0.519,0.483,0.295,0.114,0.433,0.000,0.000,0.499,0.410,0.276,0.368,0.534,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-member-t1-s082,Default pass + member challenge vouchers t=1 s=.82,9000,60.000,2285,15.233,60.000,0.254,1.000,0.583,0.581,0.148,0.206,0.746,0.000,0.000,0.890,0.082,0.482,0.097,0.302,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-member-t2-s082,Default pass + member challenge vouchers t=2 s=.82,9000,60.000,2294,15.293,60.000,0.255,1.000,0.584,0.579,0.149,0.205,0.745,0.000,0.000,0.898,0.077,0.490,0.098,0.305,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-member-t3-s082,Default pass + member challenge vouchers t=3 s=.82,9000,60.000,2257,15.047,60.000,0.251,1.000,0.584,0.581,0.147,0.207,0.749,0.000,0.000,0.904,0.069,0.490,0.096,0.301,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-escalation-q6-s082,Default pass + q=6 challenge escalation s=.82,9000,60.000,2355,15.700,60.000,0.262,1.000,0.581,0.580,0.152,0.203,0.738,0.000,0.000,0.894,0.094,0.479,0.101,0.307,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-escalation-q12-s082,Default pass + q=12 challenge escalation s=.82,9000,60.000,2297,15.313,60.000,0.255,1.000,0.582,0.579,0.148,0.207,0.745,0.000,0.000,0.891,0.088,0.491,0.097,0.300,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-escalation-q20-s082,Default pass + q=20 challenge escalation s=.82,9000,60.000,2266,15.107,60.000,0.252,1.000,0.582,0.582,0.146,0.206,0.748,0.000,0.000,0.883,0.096,0.490,0.094,0.294,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4521,30.140,60.000,0.502,1.000,0.635,0.622,0.319,0.269,0.498,0.000,0.000,0.000,0.000,0.184,0.163,0.225,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2520,16.800,60.000,0.280,1.000,0.686,0.670,0.192,0.339,0.720,0.000,0.000,0.000,0.000,0.423,0.068,0.164,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,9000,60.000,7516,50.107,60.000,0.835,1.000,0.575,0.557,0.480,0.187,0.165,0.000,0.000,0.000,0.329,0.027,0.404,0.343,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,3746,24.973,25.013,0.416,0.417,0.629,0.640,0.262,0.271,0.584,0.368,0.215,0.000,0.116,0.276,0.128,0.210,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5880,39.200,60.000,0.653,1.000,0.592,0.581,0.387,0.222,0.347,0.000,0.000,0.499,0.193,0.142,0.261,0.279,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,8029,53.527,60.000,0.892,1.000,0.557,0.535,0.497,0.168,0.108,0.000,0.000,0.150,0.348,0.045,0.470,0.370,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,7110,47.400,60.000,0.790,1.000,0.569,0.550,0.450,0.187,0.210,0.000,0.000,0.300,0.293,0.084,0.381,0.337,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,4974,33.160,60.000,0.553,1.000,0.619,0.612,0.342,0.259,0.447,0.000,0.000,0.660,0.086,0.176,0.177,0.224,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,4764,31.760,60.000,0.529,1.000,0.625,0.616,0.331,0.263,0.471,0.000,0.000,0.758,0.052,0.183,0.168,0.223,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t10-s050,Default pass + party challenge vouchers t=10 s=.50,9000,60.000,6148,40.987,60.000,0.683,1.000,0.587,0.570,0.401,0.208,0.317,0.000,0.000,0.500,0.213,0.126,0.299,0.307,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t10-s065,Default pass + party challenge vouchers t=10 s=.65,9000,60.000,5960,39.733,60.000,0.662,1.000,0.590,0.576,0.391,0.216,0.338,0.000,0.000,0.500,0.202,0.134,0.277,0.291,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t10-s100,Default pass + party challenge vouchers t=10 s=1.00,9000,60.000,5746,38.307,60.000,0.638,1.000,0.595,0.586,0.380,0.230,0.362,0.000,0.000,0.495,0.189,0.150,0.237,0.259,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-party-t10-s125,Default pass + party challenge vouchers t=10 s=1.25,9000,60.000,5831,38.873,60.000,0.648,1.000,0.593,0.586,0.384,0.232,0.352,0.000,0.000,0.471,0.201,0.147,0.228,0.245,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-member-t1-s082,Default pass + member challenge vouchers t=1 s=.82,9000,60.000,4813,32.087,60.000,0.535,1.000,0.623,0.615,0.333,0.265,0.465,0.000,0.000,0.697,0.068,0.185,0.167,0.216,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-member-t2-s082,Default pass + member challenge vouchers t=2 s=.82,9000,60.000,4792,31.947,60.000,0.532,1.000,0.625,0.617,0.333,0.264,0.468,0.000,0.000,0.721,0.056,0.180,0.166,0.218,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge-member-t3-s082,Default pass + member challenge vouchers t=3 s=.82,9000,60.000,4790,31.933,60.000,0.532,1.000,0.625,0.616,0.333,0.263,0.468,0.000,0.000,0.734,0.056,0.181,0.169,0.222,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-escalation-q6-s082,Default pass + q=6 challenge escalation s=.82,9000,60.000,4822,32.147,60.000,0.536,1.000,0.622,0.614,0.333,0.263,0.464,0.000,0.000,0.713,0.065,0.184,0.168,0.219,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-escalation-q12-s082,Default pass + q=12 challenge escalation s=.82,9000,60.000,4870,32.467,60.000,0.541,1.000,0.622,0.613,0.336,0.264,0.459,0.000,0.000,0.682,0.074,0.182,0.169,0.218,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-escalation-q20-s082,Default pass + q=20 challenge escalation s=.82,9000,60.000,4926,32.840,60.000,0.547,1.000,0.619,0.612,0.339,0.261,0.453,0.000,0.000,0.647,0.085,0.181,0.171,0.218,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority,Unicameral simple majority,9000,60.000,1257,8.380,60.000,0.140,1.000,0.583,0.596,0.081,0.213,0.860,0.000,0.000,0.000,0.000,0.668,0.055,0.306,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,supermajority-60,Unicameral 60 percent passage,9000,60.000,298,1.987,60.000,0.033,1.000,0.658,0.694,0.022,0.371,0.967,0.000,0.000,0.000,0.000,0.885,0.006,0.112,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass,Default pass unless 2/3 block,9000,60.000,7549,50.327,60.000,0.839,1.000,0.518,0.436,0.434,0.066,0.161,0.000,0.000,0.000,0.496,0.027,0.784,0.822,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1144,7.627,7.700,0.127,0.128,0.566,0.606,0.072,0.206,0.873,0.640,0.232,0.000,0.271,0.672,0.042,0.246,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,4906,32.707,60.000,0.545,1.000,0.501,0.444,0.273,0.083,0.455,0.000,0.000,0.500,0.471,0.342,0.423,0.669,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,7783,51.887,60.000,0.865,1.000,0.491,0.419,0.424,0.062,0.135,0.000,0.000,0.150,0.520,0.095,0.738,0.742,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,6555,43.700,60.000,0.728,1.000,0.495,0.426,0.361,0.070,0.272,0.000,0.000,0.300,0.502,0.202,0.602,0.716,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,2828,18.853,60.000,0.314,1.000,0.517,0.490,0.162,0.125,0.686,0.000,0.000,0.749,0.379,0.527,0.199,0.535,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,1547,10.313,60.000,0.172,1.000,0.559,0.577,0.096,0.195,0.828,0.000,0.000,0.920,0.139,0.629,0.069,0.317,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t10-s050,Default pass + party challenge vouchers t=10 s=.50,9000,60.000,4971,33.140,60.000,0.552,1.000,0.501,0.442,0.277,0.081,0.448,0.000,0.000,0.500,0.464,0.333,0.439,0.683,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t10-s065,Default pass + party challenge vouchers t=10 s=.65,9000,60.000,4943,32.953,60.000,0.549,1.000,0.500,0.443,0.275,0.083,0.451,0.000,0.000,0.500,0.470,0.337,0.430,0.675,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t10-s100,Default pass + party challenge vouchers t=10 s=1.00,9000,60.000,4905,32.700,60.000,0.545,1.000,0.500,0.446,0.273,0.085,0.455,0.000,0.000,0.500,0.473,0.344,0.418,0.660,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-party-t10-s125,Default pass + party challenge vouchers t=10 s=1.25,9000,60.000,4888,32.587,60.000,0.543,1.000,0.499,0.448,0.271,0.087,0.457,0.000,0.000,0.500,0.484,0.333,0.406,0.642,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-member-t1-s082,Default pass + member challenge vouchers t=1 s=.82,9000,60.000,1468,9.787,60.000,0.163,1.000,0.564,0.584,0.092,0.203,0.837,0.000,0.000,0.933,0.095,0.645,0.064,0.313,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-member-t2-s082,Default pass + member challenge vouchers t=2 s=.82,9000,60.000,1451,9.673,60.000,0.161,1.000,0.562,0.581,0.091,0.200,0.839,0.000,0.000,0.932,0.112,0.640,0.060,0.299,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge-member-t3-s082,Default pass + member challenge vouchers t=3 s=.82,9000,60.000,1467,9.780,60.000,0.163,1.000,0.565,0.580,0.092,0.198,0.837,0.000,0.000,0.934,0.093,0.641,0.062,0.304,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-escalation-q6-s082,Default pass + q=6 challenge escalation s=.82,9000,60.000,1431,9.540,60.000,0.159,1.000,0.565,0.583,0.090,0.209,0.841,0.000,0.000,0.931,0.106,0.653,0.056,0.274,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-escalation-q12-s082,Default pass + q=12 challenge escalation s=.82,9000,60.000,1476,9.840,60.000,0.164,1.000,0.561,0.578,0.092,0.202,0.836,0.000,0.000,0.931,0.116,0.655,0.062,0.300,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-escalation-q20-s082,Default pass + q=20 challenge escalation s=.82,9000,60.000,1490,9.933,60.000,0.166,1.000,0.561,0.573,0.093,0.201,0.834,0.000,0.000,0.924,0.134,0.646,0.060,0.284,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,simple-majority,Unicameral simple majority,9000,60.000,2391,15.940,60.000,0.266,1.000,0.595,0.584,0.158,0.199,0.734,0.000,0.000,0.000,0.000,0.429,0.121,0.373,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,supermajority-60,Unicameral 60 percent passage,9000,60.000,780,5.200,60.000,0.087,1.000,0.667,0.666,0.058,0.308,0.913,0.000,0.000,0.000,0.000,0.740,0.022,0.194,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass,Default pass unless 2/3 block,9000,60.000,7521,50.140,60.000,0.836,1.000,0.530,0.464,0.443,0.092,0.164,0.000,0.000,0.000,0.464,0.022,0.691,0.693,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1732,11.547,11.647,0.192,0.194,0.591,0.608,0.114,0.218,0.808,0.571,0.234,0.000,0.193,0.565,0.066,0.263,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5231,34.873,60.000,0.581,1.000,0.524,0.479,0.304,0.115,0.419,0.000,0.000,0.499,0.386,0.254,0.391,0.552,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,7881,52.540,60.000,0.876,1.000,0.506,0.446,0.443,0.086,0.124,0.000,0.000,0.150,0.473,0.078,0.683,0.643,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,6724,44.827,60.000,0.747,1.000,0.512,0.456,0.382,0.096,0.253,0.000,0.000,0.299,0.445,0.163,0.552,0.606,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,3378,22.520,60.000,0.375,1.000,0.555,0.537,0.208,0.166,0.625,0.000,0.000,0.742,0.239,0.373,0.186,0.399,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,2661,17.740,60.000,0.296,1.000,0.581,0.570,0.172,0.191,0.704,0.000,0.000,0.873,0.096,0.420,0.128,0.356,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t10-s050,Default pass + party challenge vouchers t=10 s=.50,9000,60.000,5346,35.640,60.000,0.594,1.000,0.523,0.474,0.311,0.110,0.406,0.000,0.000,0.499,0.383,0.248,0.416,0.573,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t10-s065,Default pass + party challenge vouchers t=10 s=.65,9000,60.000,5312,35.413,60.000,0.590,1.000,0.524,0.477,0.309,0.113,0.410,0.000,0.000,0.499,0.380,0.250,0.405,0.562,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t10-s100,Default pass + party challenge vouchers t=10 s=1.00,9000,60.000,5215,34.767,60.000,0.579,1.000,0.524,0.483,0.304,0.117,0.421,0.000,0.000,0.499,0.395,0.259,0.378,0.534,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-party-t10-s125,Default pass + party challenge vouchers t=10 s=1.25,9000,60.000,5172,34.480,60.000,0.575,1.000,0.524,0.488,0.301,0.120,0.425,0.000,0.000,0.498,0.387,0.246,0.360,0.513,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-member-t1-s082,Default pass + member challenge vouchers t=1 s=.82,9000,60.000,2631,17.540,60.000,0.292,1.000,0.584,0.570,0.171,0.199,0.708,0.000,0.000,0.873,0.079,0.419,0.120,0.330,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-member-t2-s082,Default pass + member challenge vouchers t=2 s=.82,9000,60.000,2498,16.653,60.000,0.278,1.000,0.587,0.571,0.163,0.202,0.722,0.000,0.000,0.888,0.076,0.450,0.113,0.326,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge-member-t3-s082,Default pass + member challenge vouchers t=3 s=.82,9000,60.000,2563,17.087,60.000,0.285,1.000,0.584,0.571,0.166,0.197,0.715,0.000,0.000,0.888,0.075,0.437,0.119,0.338,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-escalation-q6-s082,Default pass + q=6 challenge escalation s=.82,9000,60.000,2592,17.280,60.000,0.288,1.000,0.584,0.570,0.168,0.201,0.712,0.000,0.000,0.882,0.080,0.437,0.117,0.326,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-escalation-q12-s082,Default pass + q=12 challenge escalation s=.82,9000,60.000,2592,17.280,60.000,0.288,1.000,0.582,0.570,0.168,0.202,0.712,0.000,0.000,0.874,0.091,0.433,0.115,0.319,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-escalation-q20-s082,Default pass + q=20 challenge escalation s=.82,9000,60.000,2669,17.793,60.000,0.297,1.000,0.579,0.571,0.172,0.196,0.703,0.000,0.000,0.863,0.098,0.422,0.123,0.336,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,simple-majority,Unicameral simple majority,9000,60.000,2049,13.660,60.000,0.228,1.000,0.595,0.592,0.136,0.215,0.772,0.000,0.000,0.000,0.000,0.506,0.093,0.322,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,supermajority-60,Unicameral 60 percent passage,9000,60.000,653,4.353,60.000,0.073,1.000,0.667,0.675,0.048,0.348,0.927,0.000,0.000,0.000,0.000,0.784,0.015,0.152,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass,Default pass unless 2/3 block,9000,60.000,7496,49.973,60.000,0.833,1.000,0.530,0.467,0.442,0.091,0.167,0.000,0.000,0.000,0.457,0.028,0.693,0.701,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1689,11.260,11.300,0.188,0.188,0.583,0.608,0.109,0.221,0.812,0.576,0.235,0.000,0.210,0.581,0.062,0.243,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5164,34.427,60.000,0.574,1.000,0.521,0.482,0.299,0.116,0.426,0.000,0.000,0.500,0.396,0.270,0.387,0.552,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,7869,52.460,60.000,0.874,1.000,0.505,0.449,0.441,0.085,0.126,0.000,0.000,0.150,0.475,0.074,0.677,0.638,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,6692,44.613,60.000,0.744,1.000,0.510,0.461,0.379,0.095,0.256,0.000,0.000,0.300,0.452,0.164,0.554,0.613,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,3293,21.953,60.000,0.366,1.000,0.548,0.532,0.201,0.161,0.634,0.000,0.000,0.749,0.261,0.410,0.192,0.427,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,2266,15.107,60.000,0.252,1.000,0.581,0.582,0.146,0.214,0.748,0.000,0.000,0.888,0.096,0.502,0.096,0.302,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t10-s050,Default pass + party challenge vouchers t=10 s=.50,9000,60.000,5236,34.907,60.000,0.582,1.000,0.520,0.478,0.303,0.111,0.418,0.000,0.000,0.500,0.393,0.266,0.407,0.571,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t10-s065,Default pass + party challenge vouchers t=10 s=.65,9000,60.000,5194,34.627,60.000,0.577,1.000,0.521,0.480,0.300,0.114,0.423,0.000,0.000,0.500,0.396,0.272,0.395,0.559,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t10-s100,Default pass + party challenge vouchers t=10 s=1.00,9000,60.000,5116,34.107,60.000,0.568,1.000,0.521,0.484,0.296,0.120,0.432,0.000,0.000,0.500,0.403,0.281,0.372,0.534,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-party-t10-s125,Default pass + party challenge vouchers t=10 s=1.25,9000,60.000,5115,34.100,60.000,0.568,1.000,0.522,0.489,0.297,0.121,0.432,0.000,0.000,0.500,0.392,0.272,0.359,0.515,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-member-t1-s082,Default pass + member challenge vouchers t=1 s=.82,9000,60.000,2309,15.393,60.000,0.257,1.000,0.581,0.578,0.149,0.210,0.743,0.000,0.000,0.894,0.079,0.488,0.097,0.297,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-member-t2-s082,Default pass + member challenge vouchers t=2 s=.82,9000,60.000,2214,14.760,60.000,0.246,1.000,0.586,0.582,0.144,0.216,0.754,0.000,0.000,0.904,0.070,0.501,0.093,0.295,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge-member-t3-s082,Default pass + member challenge vouchers t=3 s=.82,9000,60.000,2257,15.047,60.000,0.251,1.000,0.584,0.581,0.146,0.213,0.749,0.000,0.000,0.904,0.073,0.501,0.095,0.299,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-escalation-q6-s082,Default pass + q=6 challenge escalation s=.82,9000,60.000,2232,14.880,60.000,0.248,1.000,0.582,0.584,0.144,0.216,0.752,0.000,0.000,0.902,0.080,0.499,0.093,0.297,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-escalation-q12-s082,Default pass + q=12 challenge escalation s=.82,9000,60.000,2284,15.227,60.000,0.254,1.000,0.580,0.578,0.147,0.211,0.746,0.000,0.000,0.892,0.090,0.502,0.095,0.295,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-escalation-q20-s082,Default pass + q=20 challenge escalation s=.82,9000,60.000,2277,15.180,60.000,0.253,1.000,0.581,0.577,0.147,0.214,0.747,0.000,0.000,0.886,0.088,0.497,0.095,0.291,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",simple-majority,Unicameral simple majority,9000,60.000,1771,11.807,60.000,0.197,1.000,0.579,0.613,0.114,0.213,0.803,0.000,0.000,0.000,0.000,0.549,0.078,0.323,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",supermajority-60,Unicameral 60 percent passage,9000,60.000,451,3.007,60.000,0.050,1.000,0.650,0.697,0.033,0.342,0.950,0.000,0.000,0.000,0.000,0.845,0.010,0.150,0,0
