packet_rank,packet_fingerprint,review_priority,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,text_review_status,manual_review_reason,target_review_status,filing_uuids,filing_years,filing_periods,support_text_signals,opposition_text_signals,position_or_activity_text_signals,distinct_context_count,bill_reference_context_samples,disposition_next_step,target_next_step,evidence_layers,missing_links,source_urls,claim_boundary
21,56df3e7e27b94416,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,b6c88675df845397; dd692e72cfc4e41c,43; 44,117-hr-5376,117-169,Economics and Public Finance,CROP INSURANCE PROFESSIONAL ASSOCIATION LLC (NEW NAME),"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,44dd9d4b-5c99-4ddf-949a-92216a04417d; 85f5141f-5f75-4cb2-9e52-be520ad48733,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/44dd9d4b-5c99-4ddf-949a-92216a04417d/; https://lda.gov/api/v1/filings/85f5141f-5f75-4cb2-9e52-be520ad48733/; https://lda.gov/filings/public/filing/44dd9d4b-5c99-4ddf-949a-92216a04417d/print/; https://lda.gov/filings/public/filing/85f5141f-5f75-4cb2-9e52-be520ad48733/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
22,72031317ec1f6ce1,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,64f64754e9c80ec4; 68145dc339995b05,45; 46,117-hr-5376,117-169,Economics and Public Finance,MINNESOTA CORN GROWERS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,4ebca367-160c-4e16-8d94-7561176a4bf0; b2f0f557-3d8a-4286-94ad-b6f432fb2473,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/4ebca367-160c-4e16-8d94-7561176a4bf0/; https://lda.gov/api/v1/filings/b2f0f557-3d8a-4286-94ad-b6f432fb2473/; https://lda.gov/filings/public/filing/4ebca367-160c-4e16-8d94-7561176a4bf0/print/; https://lda.gov/filings/public/filing/b2f0f557-3d8a-4286-94ad-b6f432fb2473/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
23,212c11de33b8c790,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,e3251d1d37e1d08e,47,117-hr-5376,117-169,Economics and Public Finance,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,58ff26ab-7a31-4a1f-81f7-361f5bc4702e,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding RUS provisions. HR 5376, FY 2022 Budget Reconciliation package regarding RUS provisions. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 2599 Agriculture Appropriations bills regard...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/58ff26ab-7a31-4a1f-81f7-361f5bc4702e/; https://lda.gov/filings/public/filing/58ff26ab-7a31-4a1f-81f7-361f5bc4702e/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
24,8993c5c51f4d786e,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,4cd026f767c1c056,48,117-hr-5376,117-169,Economics and Public Finance,NATIONAL SORGHUM PRODUCERS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,5dbc8a2d-f59f-4f79-94b6-fb5d0b1abee1,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/5dbc8a2d-f59f-4f79-94b6-fb5d0b1abee1/; https://lda.gov/filings/public/filing/5dbc8a2d-f59f-4f79-94b6-fb5d0b1abee1/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
25,031f4c66ae36e6f1,medium,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,6951cfbfa45427db,49,117-hr-5376,117-169,Economics and Public Finance,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Science/Technology,exact_bill_text_with_explicit_support_signal,support_signal,chamber_entity_context_only_no_specific_target_detected,d71683c9-433e-4eeb-bb04-431870a5ff16,2021,3rd Quarter (July 1 - Sep 30),support_for,none_detected,none_detected,1,"...cy Assistance Act) Support for agriculture, oceans, wildfire related climate research investment to NSF, NOAA, Agriculture (HR 3684 Infrastructure Investment & Jobs Act; HR 5376 Build Back Better Act)","Confirm whether the support signal applies to the current bill and whether any source text identifies a target, action, roll call, or outcome disposition.",No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
26,5e06ad5264e93b96,medium,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,9ad4ef89180e60a9,50,117-hr-5376,117-169,Economics and Public Finance,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Immigration,exact_bill_text_with_explicit_support_signal,support_signal,chamber_entity_context_only_no_specific_target_detected,d71683c9-433e-4eeb-bb04-431870a5ff16,2021,3rd Quarter (July 1 - Sep 30),support_for,none_detected,none_detected,1,Support for statutory solution for DACA (HR 5376 Build Back Better Act),"Confirm whether the support signal applies to the current bill and whether any source text identifies a target, action, roll call, or outcome disposition.",No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
27,9ed810bc9dbaa619,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,3f5b41af43125a83,51,117-hr-5376,117-169,Economics and Public Finance,"SELECT MILK PRODUCERS, INC./CONTINENTAL DAIRY PRODUCTS, INC.","COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,d87af326-ccf5-49f6-b1cc-b5580c9282d6,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d87af326-ccf5-49f6-b1cc-b5580c9282d6/; https://lda.gov/filings/public/filing/d87af326-ccf5-49f6-b1cc-b5580c9282d6/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
28,ae3b13c0b7efe36d,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,d06b1a91a2094bb4,52,117-hr-5376,117-169,Economics and Public Finance,SOUTH CAROLINA PEACH COUNCIL,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,e97b976e-471b-4041-984b-e7a24be843ab,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/e97b976e-471b-4041-984b-e7a24be843ab/; https://lda.gov/filings/public/filing/e97b976e-471b-4041-984b-e7a24be843ab/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
29,eca47af8a9c4e6ca,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,68c1675373e8bdfe; 6fef36dd635de532,53; 54,117-hr-5376,117-169,Economics and Public Finance,SOUTHWEST COUNCIL OF AGRIBUSINESS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,37ed1cfc-374c-452f-b3c9-fe383b4bb407; 46321926-ceff-430d-84af-bccd8b276372,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/37ed1cfc-374c-452f-b3c9-fe383b4bb407/; https://lda.gov/api/v1/filings/46321926-ceff-430d-84af-bccd8b276372/; https://lda.gov/filings/public/filing/37ed1cfc-374c-452f-b3c9-fe383b4bb407/print/; https://lda.gov/filings/public/filing/46321926-ceff-430d-84af-bccd8b276372/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
30,aeb20c3d8e162273,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,b7df943fd4fec1f8,55,117-hr-5376,117-169,Economics and Public Finance,USA RICE FEDERATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/; https://lda.gov/filings/public/filing/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
31,d0ae494f34dc3e3a,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,539f4b0cf1709ac3,56,117-hr-5376,117-169,Economics and Public Finance,WESTERN PEANUT GROWERS ASSOCIATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,d822233b-5bac-43cd-a3d6-a930dfd437c5,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,regarding,1,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d822233b-5bac-43cd-a3d6-a930dfd437c5/; https://lda.gov/filings/public/filing/d822233b-5bac-43cd-a3d6-a930dfd437c5/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
32,d9eacb3918273f18,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,52f90c49489b8705,57,117-hr-5376,117-169,Economics and Public Finance,"ALTRIA CLIENT SERVICES, LLC","RESOLUTION PUBLIC AFFAIRS, LLC",Taxation/Internal Revenue Code,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,9810f98f-39e1-4877-81d1-ea7598f8a4b0,2022,1st Quarter (Jan 1 - Mar 31),none_detected,none_detected,regarding,1,"Issues regarding corporate taxation, generally HR 5376, Build Back Better Act, regarding Federal Excise Tax on Tobacco",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/9810f98f-39e1-4877-81d1-ea7598f8a4b0/; https://lda.gov/filings/public/filing/9810f98f-39e1-4877-81d1-ea7598f8a4b0/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
33,5bfc565844d55c1f,medium,medium_opposition_disposition_packet_needs_confirmation,opposition_text_signal_needs_manual_confirmation,1,55e86bc10f288c5f,59,117-hr-5376,117-169,Economics and Public Finance,CSX CORPORATION,"THE SMITH-FREE GROUP, LLC",Railroads,exact_bill_text_with_explicit_opposition_signal,opposition_signal,chamber_entity_context_only_no_specific_target_detected,56e755d5-45d7-4703-bd33-2eb4903361c9,2022,1st Quarter (Jan 1 - Mar 31),none_detected,oppose,monitoring; related_to,1,...etition in the American Economy Discussions involving Gulf Coast passenger service S 2016 Rail Shipper Fairness Act of 2021 (all sections of full text)(oppose) Monitored HR 5376 Build Back Better Act Monitored discussions related to truck size and weight Monitored implementation of P.L. 117-2 American Rescue Plan Act of 2021,"Confirm whether the opposition signal applies to the current bill and whether any source text identifies a target, action, roll call, or outcome disposition.",No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/56e755d5-45d7-4703-bd33-2eb4903361c9/; https://lda.gov/filings/public/filing/56e755d5-45d7-4703-bd33-2eb4903361c9/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
34,0c548f3634a8d036,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0184c7bcdf8d7f16,60,117-hr-5376,117-169,Economics and Public Finance,HCA,"THE SMITH-FREE GROUP, LLC",Education,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,no_government_entity_context_or_specific_target_detected,6aa81f96-8483-4f3d-89d5-18411937f550,2022,1st Quarter (Jan 1 - Mar 31),none_detected,none_detected,monitoring; related_to,1,"Monitored HR 5376 Build Back Better Act, provisions related to health care and pell grants",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/6aa81f96-8483-4f3d-89d5-18411937f550/; https://lda.gov/filings/public/filing/6aa81f96-8483-4f3d-89d5-18411937f550/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
35,9a08959d1cf60c17,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,480ab719eb2cdb73,61,117-hr-5376,117-169,Economics and Public Finance,"KOCH GOVERNMENT AFFAIRS, LLC","THE NICKLES GROUP, LLC",Taxation/Internal Revenue Code,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,9939d6d3-84b0-4d5a-ba9f-af8df33f48a2,2022,1st Quarter (Jan 1 - Mar 31),none_detected,none_detected,issues_related_to; related_to,1,"...t, S. 3208 / H.R. 7061, Big Oil Windfall Profits Tax Act, and H.R. 7099, the Stop Gas Price Gouging Tax and Rebate Act, and issues related to taxation of energy sources. HR 5376, the Build Back Better Act, as it relates to business taxes. Issues related to IRS/free speech activities.",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/; https://lda.gov/filings/public/filing/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
