member_vote_target_rank,roll_call_source_rank,source_review_rank,review_rank,bill_id,public_law_number,policy_area,vote_year,roll_call_number,official_vote_source_url,source_fetch_status,official_congress,official_chamber,official_legis_num,official_vote_result,official_action_date,member_vote_source_position,voter_bioguide_id,voter_name,voter_party,voter_state,voter_vote,same_bill_campaign_target_bioguide_ids,same_bill_campaign_target_candidate_names,same_bill_campaign_target_scope_status,same_bill_campaign_target_match_status,broad_campaign_member_context_status,broad_campaign_candidate_ids,broad_campaign_candidate_names,broad_campaign_transaction_rows,member_vote_target_scope_status,evidence_layers,missing_links,source_urls,source_url,claim_boundary
1114,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,255,M001135,Manning,D,NC,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1115,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,256,M001184,Massie,R,KY,Nay,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1116,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,257,M001199,Mast,R,FL,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1117,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,258,M001163,Matsui,D,CA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1118,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,259,M001208,McBath,D,GA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1119,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,260,M001165,McCarthy,R,CA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1120,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,261,M001157,McCaul,R,TX,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1121,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,262,M001136,McClain,R,MI,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1122,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,263,M001177,McClintock,R,CA,Nay,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1123,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,264,M001143,McCollum,D,MN,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1124,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,265,M001200,McEachin,D,VA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1125,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,266,M000312,McGovern,D,MA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1126,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,267,M001156,McHenry,R,NC,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1127,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,268,M001180,McKinley,R,WV,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1128,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,269,M001166,McNerney,D,CA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1129,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,270,M001137,Meeks,D,NY,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1130,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,271,M001186,Meijer,R,MI,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1131,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,272,M001188,Meng,D,NY,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1132,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,273,M001204,Meuser,R,PA,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1133,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,274,M000687,Mfume,D,MD,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1134,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,275,M001211,Miller (IL),R,IL,Not Voting,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,broad_public_fec_candidate_member_context_present,H0IL15129,"MILLER, MARY",1,member_vote_overlaps_broad_public_fec_candidate_context_not_current_bill_target,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review; campaign_finance_member_context,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml; https://voteview.com/static/data/out/members/HS118_members.csv; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip; https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
1135,4,4,4,117-hr-4693,117-214,International Affairs,2022,137,https://clerk.house.gov/evs/2022/roll137.xml,official_house_clerk_roll_call_xml_fetched,117,U.S. House of Representatives,H R 4693,Passed,27-Apr-2022,276,M001205,Miller (WV),R,WV,Yea,,,no_same_bill_campaign_target_scope_row,not_applicable_no_same_bill_campaign_target_scope_row,no_public_fec_candidate_member_context_overlap,,,0,no_public_fec_campaign_member_target_context_overlap,bill_finance_lobbying_roll_call_source_review; official_house_clerk_member_vote_source; bill_finance_lobbying_member_vote_target_scope_review,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; direct_member_vote_target_document; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://clerk.house.gov/evs/2022/roll137.xml,https://clerk.house.gov/evs/2022/roll137.xml,"Bill finance/lobbying member-vote target-scope review only; rows join official House Clerk member-vote metadata to reviewed public FEC/OpenFEC candidate/member target-scope context by Bioguide where available. The artifact provides vote/member target-scope context only, not lobbying contact confirmation, campaign spending for or against the bill, direct member target documents, roll-call influence, legislative-outcome causality, capture, public benefit, welfare, or model validation."
