public_law_attribution_review_rank,effective_text_review_rank,review_rank,target_review_packet_rank,text_diff_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,codified_lineage_relationship,target_section_diff_review_status,source_reviewed_target_section_diff,law_revision_effective_text_reviewed,pre_edition,post_edition,public_law_source_url,govinfo_package_id,govinfo_text_url,govinfo_details_url,public_law_text_sha256,public_law_text_bytes,pre_olrc_url,post_olrc_url,current_olrc_url,pre_normalized_text_sha256,post_normalized_text_sha256,annual_normalized_text_hash_status,annual_normalized_text_char_delta,annual_public_law_reference_hit_delta,annual_post_public_law_context_count,annual_automated_diff_cue_status,annual_section_change_cue_status,annual_manual_review_priority,current_effective_text_review_status,current_public_law_reference_status,public_law_causal_attribution,public_law_causal_attribution_reviewed,attribution_source_basis,attribution_review_summary,source_review_notes,evidence_layers,missing_links,claim_boundary
19,19,19,23,23,117-hr-6833,117-180,2022-09-30,18 USC 3551 note,direct_us_code_reference,18,3551,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,PLAW-117publ180,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,https://www.govinfo.gov/app/details/PLAW-117publ180,bfef960e0f9051f32c1384ddcdf7c649df02ff2f7f37ff2f44cd111758e74efa,219480,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3551,7110ab271c77099c3532c6b96cb8fa3ccd0f6b27c08c3162928c4b35509f20fa,910ac189f480c85da4d93c768f202cfd6376335578598952983906b641c8aaff,pre_post_normalized_text_changed,3004,1,1,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
20,20,20,24,24,117-hr-6833,117-180,2022-09-30,18 USC 1 note,direct_us_code_reference,18,1,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,PLAW-117publ180,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,https://www.govinfo.gov/app/details/PLAW-117publ180,bfef960e0f9051f32c1384ddcdf7c649df02ff2f7f37ff2f44cd111758e74efa,219480,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section1,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section1,e8e3968131a556d76f8e2b1263708b7d0019818cab3a2b4b281d40e824b53aae,94b2a1bcf04610dab847aa92dfd7082f3ca0f35dc0bb07d73c3c7ec715b756aa,pre_post_normalized_text_changed,3503,1,1,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
21,21,21,25,25,117-hr-6833,117-180,2022-09-30,18 USC 3014(a),title_code_section_phrase,18,3014,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,PLAW-117publ180,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,https://www.govinfo.gov/app/details/PLAW-117publ180,bfef960e0f9051f32c1384ddcdf7c649df02ff2f7f37ff2f44cd111758e74efa,219480,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3014,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3014,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3014,5eb9535644d54d03b944190ed2d9b25b14811a85e2e24453f6d924ed5ec5108b,6d9810a65cebc0321f416e0f41fe8af25b2e59dc8d7f79506baa4aa35e23fc2c,pre_post_normalized_text_changed,1581,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
22,22,22,28,28,117-hr-7776,117-263,2022-12-23,10 USC 101 note,direct_us_code_reference,10,101,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,PLAW-117publ263,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,https://www.govinfo.gov/app/details/PLAW-117publ263,2a74f5e0c828ac5704c31936a795cc507c62c585a832f4a4117be009f6163a89,6520561,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section101,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section101,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section101,0042f296fb5ee9bb5756fa84cb51d11b0825450c9d12b3b7544af2de9086a1ec,287d0d27291dc31458f9a7c509cc017d556b4847d4599a765039042dc1bd70bf,pre_post_normalized_text_changed,530,3,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
23,23,23,29,29,117-hr-7776,117-263,2022-12-23,10 USC 8696,direct_us_code_reference,10,8696,added_target_section,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,PLAW-117publ263,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,https://www.govinfo.gov/app/details/PLAW-117publ263,2a74f5e0c828ac5704c31936a795cc507c62c585a832f4a4117be009f6163a89,6520561,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section8696,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section8696,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section8696,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,7742772510a2a83584f92b5c61cc73ea04d36e7f41236093263ade0b1fb88e1b,pre_post_normalized_text_changed,5758,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
24,24,24,31,31,117-hr-7776,117-263,2022-12-23,10 USC 8696 note,direct_us_code_reference,10,8696,added_target_section_with_effective_date_note,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,PLAW-117publ263,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,https://www.govinfo.gov/app/details/PLAW-117publ263,2a74f5e0c828ac5704c31936a795cc507c62c585a832f4a4117be009f6163a89,6520561,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section8696,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section8696,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section8696,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,7742772510a2a83584f92b5c61cc73ea04d36e7f41236093263ade0b1fb88e1b,pre_post_normalized_text_changed,5758,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
25,25,25,32,32,117-hr-7776,117-263,2022-12-23,10 USC 9062(j),title_code_section_phrase,10,9062,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,PLAW-117publ263,https://www.govinfo.gov/content/pkg/PLAW-117publ263/html/PLAW-117publ263.htm,https://www.govinfo.gov/app/details/PLAW-117publ263,2a74f5e0c828ac5704c31936a795cc507c62c585a832f4a4117be009f6163a89,6520561,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section9062,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section9062,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section9062,6a67ce1e69ec1d4254d555a1fc8748a56b0d196e4b33b77851369545f397ea2d,286312a5ed4cd4ac7a8c9bab1a76e07734628094b39196e64b732f92cb3210ce,pre_post_normalized_text_changed,1749,6,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
26,26,26,33,33,117-hr-6604,117-297,2022-12-27,38 USC 101 note,direct_us_code_reference,38,101,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,PLAW-117publ297,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,https://www.govinfo.gov/app/details/PLAW-117publ297,64a6c463a11957f8bd4f29ae137477191b243381fe00f77afc3fee768caafd27,4322,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title38-section101,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title38-section101,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title38-section101,d1a50ec444e2ff7786ac1f76ed83b62c1c6fc0691d805c023289a4daec8ddf60,c461038f546f0c6e1923ece7540de92d84118ac06c8757f016e56776700876d9,pre_post_normalized_text_changed,10511,1,1,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
27,27,27,34,34,117-hr-6604,117-297,2022-12-27,38 USC 3319(e),title_code_section_phrase,38,3319,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,PLAW-117publ297,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,https://www.govinfo.gov/app/details/PLAW-117publ297,64a6c463a11957f8bd4f29ae137477191b243381fe00f77afc3fee768caafd27,4322,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title38-section3319,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title38-section3319,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title38-section3319,03567141926bb6c13a91a376183ade3ef4a2bc25671f3b13c031235b683506e9,1d081219f61c463d6f59c9e1194f342375ca99003a90ae08ffc86d1ab3db0e65,pre_post_normalized_text_changed,1873,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
28,28,28,35,35,117-hr-6604,117-297,2022-12-27,38 USC 3699(c)(2)(A),title_code_section_phrase,38,3699,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,PLAW-117publ297,https://www.govinfo.gov/content/pkg/PLAW-117publ297/html/PLAW-117publ297.htm,https://www.govinfo.gov/app/details/PLAW-117publ297,64a6c463a11957f8bd4f29ae137477191b243381fe00f77afc3fee768caafd27,4322,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title38-section3699,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title38-section3699,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title38-section3699,b85ae0cf49ed594405ea39d6991f9e086f2911cb82d4207f574fa8dfc0e482ef,40cb5350d86bb0e0579fda6854264aaa72dc4e6d913484ab0ffd203403c96119,pre_post_normalized_text_changed,1102,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
29,29,29,36,36,117-hr-7132,117-223,2022-12-07,47 USC 345 note,direct_us_code_reference,47,345,added_target_section_with_effective_date_note,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ223/html/PLAW-117publ223.htm,PLAW-117publ223,https://www.govinfo.gov/content/pkg/PLAW-117publ223/html/PLAW-117publ223.htm,https://www.govinfo.gov/app/details/PLAW-117publ223,8653d9ccdafede4d47b6fe1f9de6234928c7f7c5d07f199f7d8f5b2d67c38028,33850,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title47-section345,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title47-section345,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title47-section345,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,b798c8c028cee714b62ffc252e97203568815b2f8739636a45d7b2e54d4cc4d6,pre_post_normalized_text_changed,23869,7,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
