public_law_number,bill_id,final_document_number,history_status,final_publication_date,final_effective_date,final_title,final_citation,agency_names,regulation_id_numbers,docket_ids,cfr_references,candidate_proposed_rule_count,matched_proposed_rule_count,proposed_document_numbers,proposed_publication_dates,proposed_titles,proposed_citations,proposed_comment_close_dates,proposed_comment_urls,proposed_regulations_docket_ids,proposed_regulations_comments_urls,shared_identifiers,days_from_earliest_proposed_to_final,source_urls,api_urls,evidence_layers,missing_links,claim_boundary
117-180,117-hr-6833,2023-18457,no_proposed_rule_history_match,2023-08-29,2023-08-29,Hermit's Peak/Calf Canyon Fire Assistance,88 FR 59730,Homeland Security Department; Federal Emergency Management Agency,1660-AB14,Docket ID FEMA-2022-0037,44 CFR 296,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2023/08/29/2023-18457/hermits-peakcalf-canyon-fire-assistance,https://www.federalregister.gov/api/v1/documents/2023-18457.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-180,117-hr-6833,2022-26814,no_proposed_rule_history_match,2022-12-09,,Notification of Public Meetings on Hermit's Peak/Calf Canyon Fire Assistance,87 FR 75495,Homeland Security Department; Federal Emergency Management Agency,1660-AB14,Docket ID FEMA-2022-0037,44 CFR 296,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2022/12/09/2022-26814/notification-of-public-meetings-on-hermits-peakcalf-canyon-fire-assistance,https://www.federalregister.gov/api/v1/documents/2022-26814.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-180,117-hr-6833,2022-27236,no_proposed_rule_history_match,2022-12-15,2022-12-15,Exercise of Time-Limited Authority To Increase the Numerical Limitation for FY 2023 for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers,87 FR 76816,Homeland Security Department; Labor Department; Employment and Training Administration,1205-AC14; 1615-AC82,"CIS No. 2731-22, DHS Docket No. USCIS-2022-0015; DOL Docket No. ETA-",8 CFR 214; 8 CFR 274; 20 CFR 655,20,0,,,,,,,,,,,https://www.federalregister.gov/documents/2022/12/15/2022-27236/exercise-of-time-limited-authority-to-increase-the-numerical-limitation-for-fy-2023-for-the-h-2b,https://www.federalregister.gov/api/v1/documents/2022-27236.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-180,117-hr-6833,2022-24728,no_proposed_rule_history_match,2022-11-14,2022-11-14,Hermit's Peak/Calf Canyon Fire Assistance,87 FR 68085,Homeland Security Department; Federal Emergency Management Agency,1660-AB14,Docket ID FEMA-2022-0037,44 CFR 296,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2022/11/14/2022-24728/hermits-peakcalf-canyon-fire-assistance,https://www.federalregister.gov/api/v1/documents/2022-24728.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-180,117-hr-6833,2024-29353,proposed_rule_history_match,2024-12-18,2025-01-17,"Modernizing H-2 Program Requirements, Oversight, and Worker Protections",89 FR 103202,Homeland Security Department,1615-AC76,CIS No. 2740-23; DHS Docket No. USCIS-2023-0012,8 CFR 214; 8 CFR 274,5,1,2023-20123,2023-09-20,"Modernizing H-2 Program Requirements, Oversight, and Worker Protections",88 FR 65040,2023-11-20,,USCIS-2023-0012,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=USCIS-2023-0012,DOCKET:CIS274023; DOCKET:DHSUSCIS20230012; RIN:1615-AC76,455,https://www.federalregister.gov/documents/2023/09/20/2023-20123/modernizing-h-2-program-requirements-oversight-and-worker-protections; https://www.federalregister.gov/documents/2024/12/18/2024-29353/modernizing-h-2-program-requirements-oversight-and-worker-protections,https://www.federalregister.gov/api/v1/documents/2023-20123.json; https://www.federalregister.gov/api/v1/documents/2024-29353.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-180,117-hr-6833,2025-14681,no_proposed_rule_history_match,2025-08-04,2025-10-01,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals (IPPS) and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year (FY) 2026 Rates; Changes to the FY 2025 IPPS Rates Due to Court Decision; Requirements for Quality Programs; and Other Policy Changes; Health Data, Technology, and Interoperability: Electronic Prescribing, Real-Time Prescription Benefit and Electronic Prior Authorization",90 FR 36536,Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary,,CMS-1833-F and CMS-1808-F,42 CFR 412; 42 CFR 495; 42 CFR 512; 45 CFR 170,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and,https://www.federalregister.gov/api/v1/documents/2025-14681.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-203,117-s-516,2024-24886,proposed_rule_history_match,2024-11-21,2025-01-21,Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes,89 FR 92296,Transportation Department; Federal Aviation Administration,2120-AL72,"Amdt. Nos. 1-78, 11-69, 43-62, 60-8, 61-157, 91-379, 97-1340, 111-2, 135-147, 136-4, 141-26, 142-11, and 194-1; Docket No. FAA-2023-1275",14 CFR 1; 14 CFR 11; 14 CFR 43; 14 CFR 60; 14 CFR 61; 14 CFR 91; 14 CFR 97; 14 CFR 111; 14 CFR 135; 14 CFR 136; 14 CFR 141; 14 CFR 142; 14 CFR 194,2,1,2023-11497,2023-06-14,Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes,88 FR 38946,2023-08-14,,FAA-2023-1275,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=FAA-2023-1275,DOCKET:FAA20231275; RIN:2120-AL72,526,https://www.federalregister.gov/documents/2023/06/14/2023-11497/integration-of-powered-lift-pilot-certification-and-operations-miscellaneous-amendments-related-to; https://www.federalregister.gov/documents/2024/11/21/2024-24886/integration-of-powered-lift-pilot-certification-and-operations-miscellaneous-amendments-related-to,https://www.federalregister.gov/api/v1/documents/2023-11497.json; https://www.federalregister.gov/api/v1/documents/2024-24886.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-219,117-s-1941,2024-16911,proposed_rule_history_match,2024-08-06,2024-10-01,Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2025 and Updates to the IRF Quality Reporting Program,89 FR 64276,Health and Human Services Department; Centers for Medicare & Medicaid Services,0938-AV31,CMS-1804-F,42 CFR 412,1,1,2024-06550,2024-03-29,Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2025 and Updates to the IRF Quality Reporting Program,89 FR 22246,2024-05-28,,CMS-2024-0111,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2024-0111,RIN:0938-AV31,130,https://www.federalregister.gov/documents/2024/03/29/2024-06550/medicare-program-inpatient-rehabilitation-facility-prospective-payment-system-for-federal-fiscal; https://www.federalregister.gov/documents/2024/08/06/2024-16911/medicare-program-inpatient-rehabilitation-facility-prospective-payment-system-for-federal-fiscal,https://www.federalregister.gov/api/v1/documents/2024-06550.json; https://www.federalregister.gov/api/v1/documents/2024-16911.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-219,117-s-1941,2024-16909,proposed_rule_history_match,2024-08-07,2024-10-01,Medicare Program; FY 2025 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update,89 FR 64582,Health and Human Services Department; Centers for Medicare & Medicaid Services,0938-AV32,CMS-1806-F,42 CFR 412,2,1,2024-06764,2024-04-03,Medicare Program; FY 2025 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update,89 FR 23146,2024-05-28,,CMS-2024-0119,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2024-0119,RIN:0938-AV32,126,https://www.federalregister.gov/documents/2024/04/03/2024-06764/medicare-program-fy-2025-inpatient-psychiatric-facilities-prospective-payment-system-rate-update; https://www.federalregister.gov/documents/2024/08/07/2024-16909/medicare-program-fy-2025-inpatient-psychiatric-facilities-prospective-payment-system-rate-update,https://www.federalregister.gov/api/v1/documents/2024-06764.json; https://www.federalregister.gov/api/v1/documents/2024-16909.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2024-12220,no_proposed_rule_history_match,2024-06-04,2024-06-04,Supporting Survivors of Domestic and Sexual Violence; Lifeline and Link Up Reform Modernization,89 FR 47869,Federal Communications Commission,,"FCC 23-96; FR ID 223185; WC Docket Nos. 22-238, 11-42, 21-450",47 CFR 64,16,0,,,,,,,,,,,https://www.federalregister.gov/documents/2024/06/04/2024-12220/supporting-survivors-of-domestic-and-sexual-violence-lifeline-and-link-up-reform-modernization,https://www.federalregister.gov/api/v1/documents/2024-12220.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2023-25835,no_proposed_rule_history_match,2023-12-05,2024-01-14,Supporting Survivors of Domestic and Sexual Violence; Lifeline and Link Up Reform Modernization,88 FR 84406,Federal Communications Commission,,"FCC 23-96, FR ID 183619; WC Docket Nos. 22-238, 11-42, 21-450",47 CFR 54; 47 CFR 64,2,0,,,,,,,,,,,https://www.federalregister.gov/documents/2023/12/05/2023-25835/supporting-survivors-of-domestic-and-sexual-violence-lifeline-and-link-up-reform-modernization,https://www.federalregister.gov/api/v1/documents/2023-25835.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2023-26338,proposed_rule_history_match,2023-12-08,2024-01-08,Protecting Consumers from SIM-Swap and Port-Out Fraud,88 FR 85794,Federal Communications Commission,,"FCC 23-95, FR ID 186823; WC Docket No. 21-341",47 CFR 52; 47 CFR 64,8,1,2021-22099,2021-10-15,SIM Swapping and Port-Out Fraud,86 FR 57390,2021-11-15,,,,DOCKET:WC21341,784,https://www.federalregister.gov/documents/2021/10/15/2021-22099/sim-swapping-and-port-out-fraud; https://www.federalregister.gov/documents/2023/12/08/2023-26338/protecting-consumers-from-sim-swap-and-port-out-fraud,https://www.federalregister.gov/api/v1/documents/2021-22099.json; https://www.federalregister.gov/api/v1/documents/2023-26338.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2024-05942,proposed_rule_history_match,2024-03-21,2024-04-22,Video Relay Service Improvements,89 FR 20125,Federal Communications Commission,,"CG Docket Nos. 03-123, 10-51; FCC 23-116; FR ID 209179",47 CFR 64,21,1,2024-05461,2024-03-14,Video Relay Service Compensation,89 FR 18586,2024-04-15,,,,DOCKET:CG031231051,7,https://www.federalregister.gov/documents/2024/03/14/2024-05461/video-relay-service-compensation; https://www.federalregister.gov/documents/2024/03/21/2024-05942/video-relay-service-improvements,https://www.federalregister.gov/api/v1/documents/2024-05461.json; https://www.federalregister.gov/api/v1/documents/2024-05942.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2024-04587,proposed_rule_history_match,2024-03-05,2024-04-04,Strengthening the Ability of Consumers To Stop Robocalls,89 FR 15756,Federal Communications Commission,,CG Docket No. 02-278; FCC 24-24; FR ID 205127,47 CFR 64,30,4,2020-22331; 2021-07360; 2023-13821; 2024-04586,2020-10-09; 2021-04-12; 2023-06-29; 2024-03-05,Exemptions Implemented Under the Telephone Consumer Protection Act of 1991; Petition for Reconsideration of Action in Proceedings; Prior Express Consent Under the Telephone Consumer Protection Act of 1991; Strengthening the Ability of Consumers To Stop Robocalls,85 FR 64091; 86 FR 18934; 88 FR 42034; 89 FR 15802,2020-10-26; 2023-07-31; 2024-04-04,,,,DOCKET:CG02278; DOCKET:FCC2424,1243,https://www.federalregister.gov/documents/2020/10/09/2020-22331/exemptions-implemented-under-the-telephone-consumer-protection-act-of-1991; https://www.federalregister.gov/documents/2021/04/12/2021-07360/petition-for-reconsideration-of-action-in-proceedings; https://www.federalregister.gov/documents/2023/06/29/2023-13821/prior-express-consent-under-the-telephone-consumer-protection-act-of-1991; https://www.federalregister.gov/documents/2024/03/05/2024-04586/strengthening-the-ability-of-consumers-to-stop-robocalls; https://www.federalregister.gov/documents/2024/03/05/2024-04587/strengthening-the-ability-of-consumers-to-stop-robocalls,https://www.federalregister.gov/api/v1/documents/2020-22331.json; https://www.federalregister.gov/api/v1/documents/2021-07360.json; https://www.federalregister.gov/api/v1/documents/2023-13821.json; https://www.federalregister.gov/api/v1/documents/2024-04586.json; https://www.federalregister.gov/api/v1/documents/2024-04587.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-223,117-hr-7132,2024-02384,proposed_rule_history_match,2024-02-08,2024-02-08,VRS and IP CTS-Commencement of Pending User Registration; Rates for Interstate Inmate Calling Services; Correction,89 FR 8549,Federal Communications Commission,,"CG Docket Nos. 03-123, 10-51, 13-24 and WC Docket No. 12-375; FCC 22-51; FCC 22-76; FR ID 201005",47 CFR 64,16,1,2022-25341,2022-12-08,VRS Rules Governing Communications Assistants and International Calling,87 FR 75199,2023-02-06,,,,DOCKET:FCC2251,427,https://www.federalregister.gov/documents/2022/12/08/2022-25341/vrs-rules-governing-communications-assistants-and-international-calling; https://www.federalregister.gov/documents/2024/02/08/2024-02384/vrs-and-ip-cts-commencement-of-pending-user-registration-rates-for-interstate-inmate-calling,https://www.federalregister.gov/api/v1/documents/2022-25341.json; https://www.federalregister.gov/api/v1/documents/2024-02384.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-229,117-hr-1437,2025-14681,no_proposed_rule_history_match,2025-08-04,2025-10-01,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals (IPPS) and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year (FY) 2026 Rates; Changes to the FY 2025 IPPS Rates Due to Court Decision; Requirements for Quality Programs; and Other Policy Changes; Health Data, Technology, and Interoperability: Electronic Prescribing, Real-Time Prescription Benefit and Electronic Prior Authorization",90 FR 36536,Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary,,CMS-1833-F and CMS-1808-F,42 CFR 412; 42 CFR 495; 42 CFR 512; 45 CFR 170,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and,https://www.federalregister.gov/api/v1/documents/2025-14681.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-229,117-hr-1437,2023-16252,no_proposed_rule_history_match,2023-08-28,2023-10-01,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2024 Rates; Quality Programs and Medicare Promoting Interoperability Program Requirements for Eligible Hospitals and Critical Access Hospitals; Rural Emergency Hospital and Physician-Owned Hospital Requirements; and Provider and Supplier Disclosure of Ownership; and Medicare Disproportionate Share Hospital (DSH) Payments: Counting Certain Days Associated With Section 1115 Demonstrations in the Medicaid Fraction,88 FR 58640,Health and Human Services Department; Centers for Medicare & Medicaid Services,,CMS-1785-F and CMS-1788-F,42 CFR 411; 42 CFR 412; 42 CFR 419; 42 CFR 488; 42 CFR 489; 42 CFR 495,0,0,,,,,,,,,,,https://www.federalregister.gov/documents/2023/08/28/2023-16252/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-and-the,https://www.federalregister.gov/api/v1/documents/2023-16252.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket,proposed_rule_history; complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-229,117-hr-1437,2024-17021,proposed_rule_history_match,2024-08-28,2024-10-01,Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes,89 FR 68986,Health and Human Services Department; Centers for Medicare & Medicaid Services,0938-AV34,CMS-1808-F,42 CFR 405; 42 CFR 412; 42 CFR 413; 42 CFR 431; 42 CFR 482; 42 CFR 485; 42 CFR 495; 42 CFR 512,4,2,2024-07567; 2024-12164,2024-05-02; 2024-06-04,Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes; Medicare and Medicaid Programs and the Children's Health Insurance Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2025 Rates; Quality Programs Requirements; and Other Policy Changes; Correction,89 FR 35934; 89 FR 47884,2024-06-10,,CMS-2024-0131,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2024-0131,RIN:0938-AV34,118,https://www.federalregister.gov/documents/2024/05/02/2024-07567/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient; https://www.federalregister.gov/documents/2024/06/04/2024-12164/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient; https://www.federalregister.gov/documents/2024/08/28/2024-17021/medicare-and-medicaid-programs-and-the-childrens-health-insurance-program-hospital-inpatient,https://www.federalregister.gov/api/v1/documents/2024-07567.json; https://www.federalregister.gov/api/v1/documents/2024-12164.json; https://www.federalregister.gov/api/v1/documents/2024-17021.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
117-238,117-hr-7925,2025-20907,proposed_rule_history_match,2025-11-25,2026-01-01,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Overall Hospital Quality Star Rating; Hospital Price Transparency; and Notice of Closure of a Teaching Hospital and Opportunity To Apply for Available Slots,90 FR 53448,Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary,0938-AV51,CMS-1834-FC,42 CFR 410; 42 CFR 412; 42 CFR 413; 42 CFR 415; 42 CFR 416; 42 CFR 419; 45 CFR 180,1,1,2025-13360,2025-07-17,Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Overall Hospital Quality Star Ratings; and Hospital Price Transparency,90 FR 33476,2025-09-15,,CMS-2025-0306,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2025-0306,RIN:0938-AV51,131,https://www.federalregister.gov/documents/2025/07/17/2025-13360/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical; https://www.federalregister.gov/documents/2025/11/25/2025-20907/medicare-program-hospital-outpatient-prospective-payment-and-ambulatory-surgical-center-payment,https://www.federalregister.gov/api/v1/documents/2025-13360.json; https://www.federalregister.gov/api/v1/documents/2025-20907.json,federal_register_authority_text_verified; final_rule_detail_metadata; proposed_rule_search_by_rin_or_docket; proposed_rule_shared_identifier_match,complete_regulations_comments; unified_agenda_stage; enforcement_outcomes; appropriations_capacity; exhaustive_implementation_coverage; causal_implementation_effect; model_validation,"Bounded Federal Register proposed-rule search for final rules already text-verified as citing cached public laws; matches require shared RIN or docket identifiers and do not prove complete public-comment records, Unified Agenda stage coverage, enforcement outcomes, appropriations capacity, exhaustive implementation coverage, public benefit, welfare, causal effects, or model validation."
