review_rank,packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,display_title,official_title,latest_summary_action_date,latest_summary_update_date,latest_summary_sha256,govinfo_billstatus_url,govinfo_billstatus_sha256,candidate_variable_ids,candidate_variable_count,manual_alignment_status,selected_variable_ids,selected_variable_count,selected_item_labels,selected_item_issue_areas,selected_item_years,selected_item_support_codes,selected_item_oppose_codes,selected_item_nonmissing_responses,bill_policy_direction,survey_item_direction,alignment_direction,alignment_strength,historical_issue_context_status,district_estimation_status,historical_district_estimate_rows,historical_district_estimate_years,historical_district_estimate_artifact,source_review_notes,source_urls,evidence_layers,missing_links,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,VOCA Fix to Sustain the Crime Victims Fund Act of 2021,"To deposit certain funds into the Crime Victims Fund, to waive matching requirements, and for other purposes.",2021-07-22,2021-07-27T10:16:16Z,3eeea1f0416e375a1e893ea7d4d04366720969540c376d83f65c8ebe9b67707c,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1652.xml,e5498fe4b56f1ea094f27f55e395d199657f0cd511b6a7ed0fa70d650e47c1ff,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns Crime Victims Fund revenue and formula grants. Firearms and police-spending items do not measure support for the enacted provisions.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1652.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,Modernizing Access to Our Public Land Act,"To require the Secretary of the Interior, the Secretary of Agriculture, and the Assistant Secretary of the Army for Civil Works to digitize and make publicly available geographic information system mapping data relating to public access to Federal land and waters for outdoor recreation, and for other purposes.",2022-04-29,2022-06-22T19:42:40Z,b0a32ce2281df4714872e72bdf4b145c0411f424571a233e0fb3bbc544144bae,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3113.xml,3ac8bd8ef49a0735d64cfab8467a3395b0fc6a4ace592cd9d7ba1d86727405b4,enviro_airwateracts; enviro_carbon; enviro_mpg_raise; enviro_renewable; enviro_scale; enviro_vs_jobs,6,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns digital public-land access and mapping. Environmental regulation and environment-versus-jobs items are related only at a broad policy-area level and do not measure this bill.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3113.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,Public Safety Officer Support Act of 2022,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize public safety officer death benefits to officers suffering from post-traumatic stress disorder or acute stress disorder, and for other purposes.",2022-08-16,2023-08-18T10:15:17Z,e508282981ea9b73b228291685bb0be34f2a6f7d1c5d105b8299d7c7ccbe5b4b,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6943.xml,2c1ce54880141ffd8732290b4614defc26e47c7439033907c1accdad125f178e,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary extends death and disability benefits for public safety officers with specified trauma conditions. Generic police-spending and firearms items do not measure support for this benefit expansion.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6943.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,Respect for Marriage Act,"To repeal the Defense of Marriage Act and ensure respect for State regulation of marriage, and for other purposes.",2022-12-13,2022-12-14T18:35:06Z,4e04b643d264289d1546e24c78926b9461d95c71b37389473a13398e53fbef7e,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr8404.xml,b48031dacf8fc9477a31460c7eb887ba83720006a01560a41af5811c54d54e66,affirmativeaction; affirmativeaction_scale; gaymarriage_ban; gaymarriage_legalize; gaymarriage_scale,5,reviewed_aligned_historical_issue_item,gaymarriage_legalize,1,Support for legalizing gay marriage,Other,2012; 2013; 2014; 2015; 2016,gaymarriage_legalize=1,gaymarriage_legalize=2,204001,support_same_sex_marriage_recognition,support_legalizing_same_sex_marriage,survey_support_directionally_consistent_with_bill,close_issue_construct_historical_not_exact_bill_question,source_reviewed_historical_issue_item_context_available,privacy_thresholded_historical_direct_weighted_estimate_available,2,2012; 2016,reports/district-public-opinion-bill-topic-support.csv,The latest CRS summary says the act provides statutory authority for same-sex and interracial marriages and recognizes marriages valid under state law. The CES item on legalizing same-sex marriage is directionally aligned but is not the bill wording and predates enactment.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr8404.xml; https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition; source_reviewed_historical_issue_item_alignment; privacy_thresholded_direct_weighted_district_issue_estimate,exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,Medical Marijuana and Cannabidiol Research Expansion Act,"To expand research on cannabidiol and marijuana, and for other purposes.",2022-12-02,2023-02-24T20:09:22Z,25c4e0ea6e5ec6c89b27c976dd8f5ffced8200fbf23fcb89c0405c97fb3a7194,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr8454.xml,63017939c2186577f2ac88495e0b5ba1e9ee62672f912a869dbdf112e69324cc,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns registration and research pathways for marijuana and cannabidiol. Firearms and police-spending items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr8454.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".","To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",2022-12-27,2023-01-05T17:50:33Z,07b83d7d2cad05c6e62e631ba6acc14ed66a6fd5816acc71592aef8b5375194f,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6386.xml,bcc2b3c1b89c6f7b85e2bad8e4ed5254a2f24e5d0fc1898188ca929e6dff4943,,0,reviewed_no_candidate_item_in_current_ces_source,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The bill only designates a postal facility. The current CES policy-preference source has no relevant candidate item.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6386.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,Harriet Tubman Bicentennial Commemorative Coin Act,To require the Secretary of the Treasury to mint commemorative coins in recognition of the Bicentennial of Harriet Tubman's birth.,2022-08-03,2022-09-30T18:51:14Z,6e2467c45f0a075dba105046ccbca2733570b180d64c53672857ac84614d0dfe,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1842.xml,d3a293ad2a0005a20983986d4367e2869ce047fee8e6e9dcc49b07dfdefb5b3f,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_vs_tax,4,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns issuance and surcharges for commemorative coins. General tax and spending preference items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1842.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,Homicide Victims' Families' Rights Act of 2021,"To provide for a system for reviewing the case files of cold case murders at the instance of certain persons, and for other purposes.",2022-08-03,2022-08-09T10:43:44Z,1de0de37ad5d260de1dc6648de0392e6527831049a5fbf0718e9b8bfd5a62403,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3359.xml,2ed6619a4a96495d2e3cef2db13eea1a0c18713079ccaf22040fd9cbe0c6d854,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary establishes a family-requested review process for older federal homicide investigations. Generic firearms and police-spending items do not measure support for this review process.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3359.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,Global Malnutrition Prevention and Treatment Act of 2021,"To advance targeted and evidence-based interventions for the prevention and treatment of global malnutrition and to improve the coordination of such programs, and for other purposes.",2022-10-19,2022-12-20T20:06:38Z,e95f03ab3506371d21c94c42afd817dc0b2fe42a4cb4799e67b70129cb20bf37,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4693.xml,9f71251cd804ba12a4104192f7c616ece42a1a8f72389d1220ea498887d87e6c,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns international nutrition assistance and program measurement. Military-intervention and trade items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4693.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,Russia and Belarus SDR Exchange Prohibition Act of 2022,To prohibit the Secretary of the Treasury from engaging in transactions involving the exchange of Special Drawing Rights issued by the International Monetary Fund that are held by the Russian Federation or Belarus.,2022-10-04,2022-10-07T13:46:49Z,9f3d076bc0e7d01b9ac2164d168ec29110870a96a7e495c03c718b5c7b202b1b,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6899.xml,8db3977b5ad14e11d10684e99c9158ae37c562b2597fea78d94e8512b6bcd02d,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary prohibits specified Special Drawing Rights exchanges involving Russia or Belarus. Military-intervention and China or North America trade items do not measure this financial sanction.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6899.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
21,21,117-hr-7334,117-165,Commerce,MO-03,COVID-19 EIDL Fraud Statute of Limitations Act of 2022,"To extend the statute of limitations for fraud by borrowers under certain COVID-19 economic injury disaster loan programs of the Small Business Administration, and for other purposes.",2022-08-05,2022-10-21T14:29:51Z,298a3b7377fe12e301cc876bd7b0cfcaff6e475c8644dec67c64f62921aa96e5,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7334.xml,773460e02e5211da96a631efa688426083ced218b7dbbd227db440c5726c89c7,trade_canmex_except; trade_canmex_include; trade_china,3,reviewed_candidate_items_not_relevant_to_bill_text,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,The latest CRS summary concerns the limitations period for COVID-19 economic injury disaster loan fraud. Trade-policy items are not relevant bill-topic measures.,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7334.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
22,22,117-hr-5681,117-113,Immigration,NY-24,Shadow Wolves Enhancement Act,"To authorize the reclassification of the tactical enforcement officers (commonly known as the ""Shadow Wolves"") in the Homeland Security Investigations tactical patrol unit operating on the lands of the Tohono O'odham Nation as special agents, and for other purposes.",2022-04-19,2022-04-21T17:56:00Z,8a3b4736107d5b8366d65d07c393ac1a78ce4e00e00fa5e0ff86e007000ca0df,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr5681.xml,07378bb14f7c5b007971a569934de65377a9c325a3da2b3643424fa94e34f444,immig_border; immig_deport; immig_employer; immig_legalize; immig_police; immig_reduce; immig_report; immig_services; immig_wall,9,reviewed_related_construct_no_defensible_bill_alignment,,0,,,,,,,,,,,no_source_reviewed_aligned_issue_item,not_applicable_without_aligned_issue_item,0,,,"The latest CRS summary concerns the classification and law-enforcement authority of the Shadow Wolves unit. General border, deportation, legalization, and wall items are related to immigration but do not measure these enacted provisions.",https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr5681.xml,district_public_opinion_bill_text_context; official_govinfo_billstatus_xml; official_congressional_research_service_bill_summary; official_policy_preferences_guide_response_codebook_direction; source_reviewed_bill_item_alignment_disposition,exact_bill_topic_item_wording_review; bill_text_direction_alignment_review; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"Source-reviewed bill-to-CES item alignment only. A positive row links official bill text to a directionally aligned historical policy-preference item; it is not the wording of the bill, not a contemporaneous bill-support question, and not itself a district estimate; any linked aggregate is reported separately. Negative dispositions are evidence against forced policy-area matches. These rows do not provide MRP, affected-group support or harm, public benefit, causal representation, or model validation."
