manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,position_or_activity_text_signals,support_text_signals,opposition_text_signals,manual_review_source,manual_activity_disposition_status,manual_activity_disposition,manual_activity_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
11,13,adf59519811e32e6,117-hr-4346,117-167,"Science, Technology, Communications",REDWIRE SPACE INC F/K/A MADE IN SPACE,"K&L GATES, LLP",Aerospace,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,165eefd2ee878ec4,35,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...n-space servicing, assembly, and manufacturing. H.R. 7900/S. 4543 National Defense Authorization Act - issues related to in-space servicing, assembly, and manufacturing. HR 4346 - CHIPS and Science Act - issues related to NASA.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/4346; https://lda.gov/api/v1/filings/ea429bd1-cc39-471a-9421-cf62e8709ebb/; https://lda.gov/filings/public/filing/ea429bd1-cc39-471a-9421-cf62e8709ebb/print/; https://www.congress.gov/bill/117th-congress/hr-bill/4346,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
12,14,55e0bf2fd35b7a50,117-hr-4346,117-167,"Science, Technology, Communications",THE BUSINESS ROUNDTABLE,TIBER CREEK GROUP,Trade (domestic/foreign),medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,69f27411d3f1099d,36,issues_related_to; monitoring; regarding; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_monitoring_or_analysis_only,current_bill_monitoring_or_analysis_without_direction,activity_text_uses_monitor_or_analysis_language_for_current_bill_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms monitoring or analysis of current-bill text without support or opposition.,"...issues regarding the United States-Mexico-Canada Agreement (USMCA) (PL 116-113); Monitor issues related to Section 232 and 301 tariffs; Monitor issues related to China; HR 4346, the CHIPS and Science Act (PL 117-167).",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/4346; https://lda.gov/api/v1/filings/8225a597-08b2-4920-a7a2-1b1df0713efd/; https://lda.gov/filings/public/filing/8225a597-08b2-4920-a7a2-1b1df0713efd/print/; https://www.congress.gov/bill/117th-congress/hr-bill/4346,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
13,15,1e08f9850e2f6c98,117-hr-4346,117-167,"Science, Technology, Communications",TOYOTA MOTOR NORTH AMERICA INC (TMA),"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",Science/Technology,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,16dd70d69599a68f,37,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,...ed to vehicle data access Issues related to cybersecurity Issues related to artificial intelligence USICA: S.1280 H.R.6570 - REPAIR Act CHIPS and Science Act PL 117-167 (HR 4346),official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/4346; https://lda.gov/api/v1/filings/7bf5f462-852e-4962-9312-d359fa0d61e2/; https://lda.gov/filings/public/filing/7bf5f462-852e-4962-9312-d359fa0d61e2/print/; https://www.congress.gov/bill/117th-congress/hr-bill/4346,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
14,17,1fa2bead58bd0e0e,117-hr-5376,117-169,Economics and Public Finance,AMERICAN SUGAR ALLIANCE,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,505390e415279046,39,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/0dd9af3a-357f-462c-aa87-1532e8994603/; https://lda.gov/filings/public/filing/0dd9af3a-357f-462c-aa87-1532e8994603/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
15,18,75b946a5a06e5ade,117-hr-5376,117-169,Economics and Public Finance,BLOOM ENERGY,BLOOM ENERGY,Taxation/Internal Revenue Code,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,f16398fd27ec3532,40,issues_related_to; related_to,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"...H.R. 848 - GREEN Act of 2021 - issues related to the treatment of fuel cells under the Section 48 investment tax credit. S. 1807 - Clean H2 Production Act - entire bill. H.R. 5376 - Build Back Better Act - Issues related to the treatment of fuel cells, electrolyzers, hydrogen, and carbon capture. S. 2118 - Clean Energy for America Act - Issues rel...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/1eaee5b9-2aec-460b-91ae-b0c2e25f105b/; https://lda.gov/filings/public/filing/1eaee5b9-2aec-460b-91ae-b0c2e25f105b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
16,20,3745470812b04f23,117-hr-5376,117-169,Economics and Public Finance,COTTON WAREHOUSE ASSOCIATION OF AMERICA,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,b2767c09c1602b94,42,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture and small business. HR 5305 (CR), HR 4502 (Consolidated Approps...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/9fe0e958-1343-4170-a6b4-ffa3c0f4e80c/; https://lda.gov/filings/public/filing/9fe0e958-1343-4170-a6b4-ffa3c0f4e80c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
17,21,56df3e7e27b94416,117-hr-5376,117-169,Economics and Public Finance,CROP INSURANCE PROFESSIONAL ASSOCIATION LLC (NEW NAME),"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,b6c88675df845397; dd692e72cfc4e41c,43; 44,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/44dd9d4b-5c99-4ddf-949a-92216a04417d/; https://lda.gov/api/v1/filings/85f5141f-5f75-4cb2-9e52-be520ad48733/; https://lda.gov/filings/public/filing/44dd9d4b-5c99-4ddf-949a-92216a04417d/print/; https://lda.gov/filings/public/filing/85f5141f-5f75-4cb2-9e52-be520ad48733/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
18,22,72031317ec1f6ce1,117-hr-5376,117-169,Economics and Public Finance,MINNESOTA CORN GROWERS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,64f64754e9c80ec4; 68145dc339995b05,45; 46,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/4ebca367-160c-4e16-8d94-7561176a4bf0/; https://lda.gov/api/v1/filings/b2f0f557-3d8a-4286-94ad-b6f432fb2473/; https://lda.gov/filings/public/filing/4ebca367-160c-4e16-8d94-7561176a4bf0/print/; https://lda.gov/filings/public/filing/b2f0f557-3d8a-4286-94ad-b6f432fb2473/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
19,23,212c11de33b8c790,117-hr-5376,117-169,Economics and Public Finance,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,e3251d1d37e1d08e,47,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding RUS provisions. HR 5376, FY 2022 Budget Reconciliation package regarding RUS provisions. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 2599 Agriculture Appropriations bills regard...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/58ff26ab-7a31-4a1f-81f7-361f5bc4702e/; https://lda.gov/filings/public/filing/58ff26ab-7a31-4a1f-81f7-361f5bc4702e/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
20,24,8993c5c51f4d786e,117-hr-5376,117-169,Economics and Public Finance,NATIONAL SORGHUM PRODUCERS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,4cd026f767c1c056,48,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/5dbc8a2d-f59f-4f79-94b6-fb5d0b1abee1/; https://lda.gov/filings/public/filing/5dbc8a2d-f59f-4f79-94b6-fb5d0b1abee1/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
21,27,9ed810bc9dbaa619,117-hr-5376,117-169,Economics and Public Finance,"SELECT MILK PRODUCERS, INC./CONTINENTAL DAIRY PRODUCTS, INC.","COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,3f5b41af43125a83,51,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d87af326-ccf5-49f6-b1cc-b5580c9282d6/; https://lda.gov/filings/public/filing/d87af326-ccf5-49f6-b1cc-b5580c9282d6/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
22,28,ae3b13c0b7efe36d,117-hr-5376,117-169,Economics and Public Finance,SOUTH CAROLINA PEACH COUNCIL,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,d06b1a91a2094bb4,52,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/e97b976e-471b-4041-984b-e7a24be843ab/; https://lda.gov/filings/public/filing/e97b976e-471b-4041-984b-e7a24be843ab/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
23,29,eca47af8a9c4e6ca,117-hr-5376,117-169,Economics and Public Finance,SOUTHWEST COUNCIL OF AGRIBUSINESS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,2,68c1675373e8bdfe; 6fef36dd635de532,53; 54,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/37ed1cfc-374c-452f-b3c9-fe383b4bb407/; https://lda.gov/api/v1/filings/46321926-ceff-430d-84af-bccd8b276372/; https://lda.gov/filings/public/filing/37ed1cfc-374c-452f-b3c9-fe383b4bb407/print/; https://lda.gov/filings/public/filing/46321926-ceff-430d-84af-bccd8b276372/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
24,30,aeb20c3d8e162273,117-hr-5376,117-169,Economics and Public Finance,USA RICE FEDERATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,b7df943fd4fec1f8,55,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/; https://lda.gov/filings/public/filing/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
25,31,d0ae494f34dc3e3a,117-hr-5376,117-169,Economics and Public Finance,WESTERN PEANUT GROWERS ASSOCIATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,539f4b0cf1709ac3,56,regarding,none_detected,none_detected,official_lda_activity_text,reviewed_current_bill_issue_or_provision_activity_without_direction,current_bill_issue_or_provision_activity_without_direction,activity_text_uses_issues_related_to_or_regarding_language_for_current_bill_context_without_support_or_opposition,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms current-bill issue or provision activity text without a stated direction.,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_position_activity_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d822233b-5bac-43cd-a3d6-a930dfd437c5/; https://lda.gov/filings/public/filing/d822233b-5bac-43cd-a3d6-a930dfd437c5/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA position/activity packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
