packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,primary_survey_source_url,secondary_survey_source_families,secondary_survey_source_urls,source_access_notes,candidate_item_constructs,candidate_item_search_terms,district_estimation_requirement,poststratification_frame,affected_population_requirement,affected_support_or_harm_requirement,survey_crosswalk_status,next_action,evidence_layers,missing_links,source_urls,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,policing; sentencing; public safety; victimization; justice-system confidence,117-hr-1652 117-27 crime and law enforcement policing sentencing law-enforcement bill support ces/cces anes public-safety justice-system items house democratic preference representative approval presidential public safety victimization confidence pew research center gallup analytics,"Use crime or justice item responses with race, age, urbanicity proxy, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: race; ethnicity; poverty; employment; disability; language,ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,"public-lands, conservation, resource, or environmental-management bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; Gallup Analytics; GSS,https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx; https://gssdataexplorer.norc.org/,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself,public lands; conservation; environmental regulation; resource extraction; land-user interests,117-hr-3113 117-114 public lands and natural resources public-lands conservation resource environmental-management bill support ces/cces environmental/public-lands items resource-policy survey where district covariates exist house democratic preference representative approval presidential environmental regulation extraction land-user interests pew research center gallup analytics gss,"Use public-lands or environmental item responses with rurality proxy, income, education, industry, age, and party poststratification covariates.",ACS 2017-2021 district frame: employment; poverty; median_household_income; households; race; ethnicity,"ACS rural, industry, income, housing, tribal/Indigenous where applicable, and land-adjacent denominators by district","land-user, conservation, tribal/Indigenous, environmental, or resource-community source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx; https://gssdataexplorer.norc.org/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,policing; sentencing; public safety; victimization; justice-system confidence,117-hr-6943 117-172 crime and law enforcement policing sentencing law-enforcement bill support ces/cces anes public-safety justice-system items house democratic preference representative approval presidential public safety victimization confidence pew research center gallup analytics,"Use crime or justice item responses with race, age, urbanicity proxy, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: race; ethnicity; poverty; employment; disability; language,ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,civil-rights or minority-rights bill support,CES/CCES,https://cces.gov.harvard.edu/,ANES; PRRI; Pew Research Center,https://electionstudies.org/data-center/; https://prri.org/prri-research/data-vault/; https://www.pewresearch.org/datasets/,"CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; PRRI: public-religion and values survey archive; often useful for civil-rights, immigration, religion, and values items; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download",civil-rights enforcement; marriage equality; minority-rights protections; discrimination remedies,117-hr-8404 117-228 civil rights and liberties minority issues civil-rights minority-rights bill support ces/cces anes issue-specific survey items with demographic response fields house democratic preference representative approval presidential enforcement marriage equality protections discrimination remedies prri pew research center,"Use civil-rights item responses with race, ethnicity, citizenship, language, age, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: race; ethnicity; citizenship; language; disability; poverty,"ACS race, ethnicity, citizenship, disability, language, age, sex, and household denominators by district",affected-group survey or administrative discrimination/harm source tied to the bill target,survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://prri.org/prri-research/data-vault/; https://www.pewresearch.org/datasets/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,policing; sentencing; public safety; victimization; justice-system confidence,117-hr-8454 117-215 crime and law enforcement policing sentencing law-enforcement bill support ces/cces anes public-safety justice-system items house democratic preference representative approval presidential public safety victimization confidence pew research center gallup analytics,"Use crime or justice item responses with race, age, urbanicity proxy, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: race; ethnicity; poverty; employment; disability; language,ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; GSS; PRRI,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; PRRI: public-religion and values survey archive; often useful for civil-rights, immigration, religion, and values items",trust in government; election administration; democracy protection; ethics reform; civic access,117-hr-6386 117-295 government operations and politics government-operations democracy ethics institutional-reform bill support ces/cces trust election administration items where wording matches target house democratic preference representative approval presidential protection reform civic access anes pew research center gss prri,"Use trust, democracy, or election-administration item responses with education, age, race, income, turnout proxy, and party poststratification covariates.",ACS 2017-2021 district frame: citizenship; language; disability; internet_access; race; ethnicity,"ACS voting-age, citizenship, language, disability, and access-relevant denominators by district","election-administration, civic-access, or administrative-burden source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,"banking, credit, investor, or financial-regulation bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; GSS; Gallup Analytics,https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,bank regulation; credit access; borrower protection; investor protection; financial oversight,117-hr-1842 117-163 finance and financial sector banking credit investor financial-regulation bill support ces/cces economic-regulation items consumer survey where available house democratic preference representative approval presidential bank regulation access borrower protection oversight pew research center gss gallup analytics,"Use financial-regulation or consumer-finance item responses with income, homeownership, education, age, and party poststratification covariates.",ACS 2017-2021 district frame: median_household_income; poverty; employment; unemployment; households,"ACS income, homeownership, mortgage, age, poverty, and employment denominators by district","consumer-finance, borrower, investor, or financial-access outcome source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,policing; sentencing; public safety; victimization; justice-system confidence,117-hr-3359 117-164 crime and law enforcement policing sentencing law-enforcement bill support ces/cces anes public-safety justice-system items house democratic preference representative approval presidential public safety victimization confidence pew research center gallup analytics,"Use crime or justice item responses with race, age, urbanicity proxy, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: race; ethnicity; poverty; employment; disability; language,ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,https://cces.gov.harvard.edu/,Chicago Council Survey; ANES; Pew Research Center,https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Chicago Council Survey: foreign-policy survey series; useful for international-affairs item wording and national benchmarks; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download,foreign aid; sanctions; trade; military assistance; international engagement,117-hr-4693 117-214 international affairs foreign-policy trade aid sanctions international-affairs bill support ces/cces anes chicago council similar foreign-policy/trade issue items district covariates are usable house democratic preference representative approval presidential foreign military assistance engagement survey pew research center,"Use district-estimable foreign-policy responses where possible, with Chicago Council or ANES items as wording and national-benchmark sources when respondent geography is insufficient.",ACS 2017-2021 district frame: foreign_born; language; employment; poverty; median_household_income,"ACS industry, trade-exposed employment proxy, foreign-born, language, and income denominators by district","trade-exposed worker, diaspora, aid-recipient, sanctions, or foreign-policy constituency source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,https://cces.gov.harvard.edu/,Chicago Council Survey; ANES; Pew Research Center,https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Chicago Council Survey: foreign-policy survey series; useful for international-affairs item wording and national benchmarks; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download,foreign aid; sanctions; trade; military assistance; international engagement,117-hr-6899 117-185 international affairs foreign-policy trade aid sanctions international-affairs bill support ces/cces anes chicago council similar foreign-policy/trade issue items district covariates are usable house democratic preference representative approval presidential foreign military assistance engagement survey pew research center,"Use district-estimable foreign-policy responses where possible, with Chicago Council or ANES items as wording and national-benchmark sources when respondent geography is insufficient.",ACS 2017-2021 district frame: foreign_born; language; employment; poverty; median_household_income,"ACS industry, trade-exposed employment proxy, foreign-born, language, and income denominators by district","trade-exposed worker, diaspora, aid-recipient, sanctions, or foreign-policy constituency source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
21,21,117-hr-7334,117-165,Commerce,MO-03,"commerce, consumer, or business-regulation bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; GSS; Gallup Analytics,https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,consumer protection; business regulation; supply-chain policy; competition or market oversight,117-hr-7334 117-165 commerce consumer business-regulation bill support ces/cces economic-regulation items business policy surveys where bill-topic wording exists house democratic preference representative approval presidential protection regulation supply-chain competition market oversight pew research center gss gallup analytics,"Use commerce or economic-regulation item responses with employment, industry, income, education, and party poststratification covariates.",ACS 2017-2021 district frame: employment; unemployment; median_household_income; poverty; internet_access,"ACS employment, industry, occupation, income, and small-business-relevant denominators by district","consumer, worker, or industry-specific support/harm source selected from bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
22,22,117-hr-5681,117-113,Immigration,NY-24,"immigration, border, naturalization, or noncitizen-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; PRRI,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://prri.org/prri-research/data-vault/,"CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; PRRI: public-religion and values survey archive; often useful for civil-rights, immigration, religion, and values items",border enforcement; legalization; naturalization; refugee policy; noncitizen access,117-hr-5681 117-113 immigration border naturalization noncitizen-policy bill support ces/cces anes immigration-policy items with respondent geography and demographics house democratic preference representative approval presidential enforcement legalization refugee policy noncitizen access pew research center prri,"Use immigration-policy item responses with nativity, citizenship, language, race, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: foreign_born; naturalized_citizen; not_us_citizen; language; poverty; employment,"ACS foreign-born, noncitizen, naturalized-citizen, language, income, and household denominators by district","immigrant, noncitizen, border-community, or employer/worker source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://prri.org/prri-research/data-vault/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
