effective_text_review_rank,review_rank,target_review_packet_rank,text_diff_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,codified_lineage_relationship,target_section_diff_review_status,source_reviewed_target_section_diff,pre_edition,post_edition,pre_olrc_url,post_olrc_url,current_olrc_url,current_olrc_scan_status,current_olrc_http_status,current_official_text_sha256,current_official_text_bytes,current_section_heading,current_public_law_reference_hits,current_public_law_reference_status,post_public_law_context_count,pre_normalized_text_sha256,post_normalized_text_sha256,current_effective_text_review_status,law_revision_effective_text_reviewed,effective_text_source_basis,effective_text_review_summary,public_law_causal_attribution,source_review_notes,evidence_layers,missing_links,claim_boundary
11,11,3,3,117-hr-1437,117-229,2022-12-16,1 USC 1 note,direct_us_code_reference,1,1,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title1-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title1-section1,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title1-section1,official_olrc_current_section_page_fetched,200,afb8f741050d070ed2fbb9d34408ca4b8bdc973a80328c3235aeeddead8f220f,193140,"§1. Words denoting number, gender, and so forth In determining the meaning of any Act of Congress, unless the context indicates otherwise- words importing the singular include and",2,current_page_mentions_public_law,2,0ffddd3c36a95c63d1ebc628fa7c2578d9abf57f835de3ed906418f8eb75e23c,715737a905a3c3deb3731868b7fc75a40a8fe923f64e001d17ed227b83282bbf,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
12,12,4,4,117-hr-1437,117-229,2022-12-16,18 USC 1 note,direct_us_code_reference,18,1,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section1,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section1,official_olrc_current_section_page_fetched,200,2a630ac87aa4fbcdc382e447a729a52ee9b0fdb2d7a08b502b76aa152c69f67e,249780,"§1. Repealed. Pub. L. 98-473, title II, §218",2,current_page_mentions_public_law,2,e8e3968131a556d76f8e2b1263708b7d0019818cab3a2b4b281d40e824b53aae,94b2a1bcf04610dab847aa92dfd7082f3ca0f35dc0bb07d73c3c7ec715b756aa,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
13,13,5,5,117-hr-1437,117-229,2022-12-16,18 USC 3014(a),title_code_section_phrase,18,3014,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3014,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3014,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3014,official_olrc_current_section_page_fetched,200,f5acf3d692d34abdbe26eb365de2528a9b38ef4805e6f525123175478aa3a836,193555,§3014. Additional special assessment,3,current_page_mentions_public_law,3,5eb9535644d54d03b944190ed2d9b25b14811a85e2e24453f6d924ed5ec5108b,6d9810a65cebc0321f416e0f41fe8af25b2e59dc8d7f79506baa4aa35e23fc2c,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
14,14,7,7,117-hr-1437,117-229,2022-12-16,21 USC 360j(m)(6)(A)(iv),direct_us_code_reference,21,360j,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title21-section360j,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title21-section360j,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title21-section360j,official_olrc_current_section_page_fetched,200,1ff4e41bb181dc28e6361b08bb5f483d30ab10cc6f59c1c824bded60a9b69634,292539,§360j. General provisions respecting control of devices intended for human use,2,current_page_mentions_public_law,2,2aeddf5601cb1be7a4b4fd42b07169e8ef99245a3bdb33be8c28cb08c80a6c2b,06bc526c967704aa40315c7167e3bc8c7dcf64e18c7d633450771e5363a65b5c,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
15,15,9,9,117-hr-1437,117-229,2022-12-16,42 USC 1395ww(b)(3)(D),direct_us_code_reference,42,1395ww,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section1395ww,official_olrc_current_section_page_fetched,200,18536b9429bb2021a4a22d3a9f79c633b79015331d83248a68e18312ccc4f0c3,1577603,§1395ww. Payments to hospitals for inpatient hospital services,14,current_page_mentions_public_law,3,1217b097461d3142fa62da16449b6eb0ae483d536f26416e37b49483a20ecf3f,da2ce910ea37a00c9f5a3fc622f48aa7d1306933c57fa14da80d6a981c432691,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
16,16,10,10,117-hr-1437,117-229,2022-12-16,42 USC 1395ww(d)(5)(G),direct_us_code_reference,42,1395ww,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section1395ww,official_olrc_current_section_page_fetched,200,509a162f5a57c8e56bf0a232b141f2ac5ca1fdc4c6a0648c6cb5364a394d02b8,1577603,§1395ww. Payments to hospitals for inpatient hospital services,14,current_page_mentions_public_law,3,1217b097461d3142fa62da16449b6eb0ae483d536f26416e37b49483a20ecf3f,da2ce910ea37a00c9f5a3fc622f48aa7d1306933c57fa14da80d6a981c432691,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
17,17,11,11,117-hr-1437,117-229,2022-12-16,42 USC 1396d(ff),direct_us_code_reference,42,1396d,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1396d,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1396d,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section1396d,official_olrc_current_section_page_fetched,200,5cd42239dbe54a4cc92a39bc4508010af28bd77aee0b56d95e8467d3d30d8b54,600254,§1396d. Definitions For purposes of this subchapter-,3,current_page_mentions_public_law,3,320138e4af7dd22b59c042dd6caed06ef842887586c684447483fa5bc7d9677c,06d068b899b033f2bb3d4dfe554e421935494e69eca6881f76df6fe6ce1d3eed,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
18,18,12,12,117-hr-1437,117-229,2022-12-16,42 USC 282 note,direct_us_code_reference,42,282,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section282,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section282,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section282,official_olrc_current_section_page_fetched,200,f29dce445b3548fa8543b5d6c78362644816cd89779611f79d3e8db7175bc9d4,323312,§282. Director of National Institutes of Health,2,current_page_mentions_public_law,2,39b2dfb4e53e864fafb7b5118f49cf5e63e95117fc25fc608de27a4ebaf81c65,5bfa7e79d109cf10a0cdf0197594ca4c29aee11dc532643aed7116c58835515f,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
19,19,23,23,117-hr-6833,117-180,2022-09-30,18 USC 3551 note,direct_us_code_reference,18,3551,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3551,official_olrc_current_section_page_fetched,200,3cb6b60f55b671b79b72b2728047eaaca6c380274e79cc8109a00b5c9fa0ff50,199437,§3551. Authorized sentences,1,current_page_mentions_public_law,1,7110ab271c77099c3532c6b96cb8fa3ccd0f6b27c08c3162928c4b35509f20fa,910ac189f480c85da4d93c768f202cfd6376335578598952983906b641c8aaff,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
20,20,24,24,117-hr-6833,117-180,2022-09-30,18 USC 1 note,direct_us_code_reference,18,1,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section1,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section1,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section1,official_olrc_current_section_page_fetched,200,3a9d5ae0dbb39fd460c233811160e33ad4a28d6bdaca0f93d417102efe0ae128,249740,"§1. Repealed. Pub. L. 98-473, title II, §218",1,current_page_mentions_public_law,1,e8e3968131a556d76f8e2b1263708b7d0019818cab3a2b4b281d40e824b53aae,94b2a1bcf04610dab847aa92dfd7082f3ca0f35dc0bb07d73c3c7ec715b756aa,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
21,21,25,25,117-hr-6833,117-180,2022-09-30,18 USC 3014(a),title_code_section_phrase,18,3014,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3014,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3014,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3014,official_olrc_current_section_page_fetched,200,9bb04fff3d97951bb85ffca99cecfe61d33c1c7cd151f78dccea40133aa9581b,193535,§3014. Additional special assessment,2,current_page_mentions_public_law,2,5eb9535644d54d03b944190ed2d9b25b14811a85e2e24453f6d924ed5ec5108b,6d9810a65cebc0321f416e0f41fe8af25b2e59dc8d7f79506baa4aa35e23fc2c,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
22,22,28,28,117-hr-7776,117-263,2022-12-23,10 USC 101 note,direct_us_code_reference,10,101,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section101,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section101,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section101,official_olrc_current_section_page_fetched,200,b5e89511b1b876fe00a3391ce3f637f391e61afdea4234c314767327eea6ab33,333465,§101. Definitions,3,current_page_mentions_public_law,3,0042f296fb5ee9bb5756fa84cb51d11b0825450c9d12b3b7544af2de9086a1ec,287d0d27291dc31458f9a7c509cc017d556b4847d4599a765039042dc1bd70bf,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
23,23,29,29,117-hr-7776,117-263,2022-12-23,10 USC 8696,direct_us_code_reference,10,8696,added_target_section,reviewed_added_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section8696,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section8696,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section8696,official_olrc_current_section_page_fetched,200,d577c96462a2b11bc65161d7dba484a5b80c877c412b29e9388aa9935c01afb3,152714,§8696. Navy shipbuilding workforce development special incentive,2,current_page_mentions_public_law,2,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,7742772510a2a83584f92b5c61cc73ea04d36e7f41236093263ade0b1fb88e1b,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
24,24,31,31,117-hr-7776,117-263,2022-12-23,10 USC 8696 note,direct_us_code_reference,10,8696,added_target_section_with_effective_date_note,reviewed_added_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section8696,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section8696,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section8696,official_olrc_current_section_page_fetched,200,28bcd7ce821c1b4dac1a424d16529f25385ee9da60ecce94e56debf74e31d393,152674,§8696. Navy shipbuilding workforce development special incentive,2,current_page_mentions_public_law,2,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,7742772510a2a83584f92b5c61cc73ea04d36e7f41236093263ade0b1fb88e1b,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
25,25,32,32,117-hr-7776,117-263,2022-12-23,10 USC 9062(j),title_code_section_phrase,10,9062,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,2021,2022,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title10-section9062,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title10-section9062,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title10-section9062,official_olrc_current_section_page_fetched,200,d00f566214bf7aaf2251bdafef6976278a686978711c4ca1eff3154b77584d36,210149,§9062. Policy; composition; aircraft authorization,7,current_page_mentions_public_law,3,6a67ce1e69ec1d4254d555a1fc8748a56b0d196e4b33b77851369545f397ea2d,286312a5ed4cd4ac7a8c9bab1a76e07734628094b39196e64b732f92cb3210ce,reviewed_current_effective_text_source_with_public_law_note,1,official_olrc_current_us_code_page; official_olrc_current_public_law_note_scan; source_reviewed_target_section_diff,Official OLRC current U.S. Code page was fetched and its current text mentions the queued public law; public-law causation remains separately unreviewed.,not_reviewed_for_exclusive_public_law_causation,"Effective-text review is limited to official OLRC current source availability, current text hash/byte metadata, and current public-law note presence. It does not assign exclusive public-law causation.",statutory_lineage_source_reviewed_target_section_diff; official_olrc_annual_us_code_text_diff; official_olrc_current_us_code_page; statutory_lineage_effective_text_source_review,complete_codified_usc_lineage_review; public_law_causal_attribution; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Law-revision effective-text source review only. Rows confirm official OLRC current U.S. Code source availability and current public-law note presence for source-reviewed target-section diff rows. This artifact does not establish exclusive public-law causal attribution, complete codified lineage, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
