review_queue_rank,lifecycle_review_rank,bill_id,public_law_number,policy_area,case_id,case_name,term,decision_date,matched_usc_sections,court_usc_sections,authority_document_numbers,authority_agencies,scdb_invalidated,signed_opinion,vote_margin,direct_review_status,review_question,review_search_terms,review_sources_needed,evidence_layers,missing_links,claim_boundary
11,2,117-hr-5376,117-169,Economics and Public Finance,1962-122,"BOESCHE, ADMINISTRATOR, v. UDALL, SECRETARY OF THE INTERIOR",1962,5/27/1963,30 U.S.C. 181,30 U.S.C. 181,2023-28775; 2024-09105; 2025-14621; 2025-19675; 2026-07088; 2026-08280,"Agriculture Department; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau; Office of the Secretary",0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 1962-122 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (30 U.S.C. 181) with Federal Register authority citations?","""BOESCHE, ADMINISTRATOR, v. UDALL, SECRETARY OF THE INTERIOR"" ""117-169"" ""117-hr-5376"" ""30 U.S.C. 181""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
12,2,117-hr-5376,117-169,Economics and Public Finance,1965-093,WALLIS v. PAN AMERICAN PETROLEUM CORP. et al.,1965,4/25/1966,30 U.S.C. 181,30 U.S.C. 181,2023-28775; 2024-09105; 2025-14621; 2025-19675; 2026-07088; 2026-08280,"Agriculture Department; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau; Office of the Secretary",0,1,7,needs_direct_case_to_public_law_review,"Does SCDB case 1965-093 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (30 U.S.C. 181) with Federal Register authority citations?","""WALLIS v. PAN AMERICAN PETROLEUM CORP. et al."" ""117-169"" ""117-hr-5376"" ""30 U.S.C. 181""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
13,2,117-hr-5376,117-169,Economics and Public Finance,1979-098,"ANDRUS, SECRETARY OF THE INTERIOR v. SHELL OIL CO. et al.",1979,6/2/1980,30 U.S.C. 181,30 U.S.C. 181,2023-28775; 2024-09105; 2025-14621; 2025-19675; 2026-07088; 2026-08280,"Agriculture Department; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau; Office of the Secretary",0,1,3,needs_direct_case_to_public_law_review,"Does SCDB case 1979-098 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (30 U.S.C. 181) with Federal Register authority citations?","""ANDRUS, SECRETARY OF THE INTERIOR v. SHELL OIL CO. et al."" ""117-169"" ""117-hr-5376"" ""30 U.S.C. 181""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
14,2,117-hr-5376,117-169,Economics and Public Finance,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",1989,2/21/1990,44 U.S.C. 3501,44 U.S.C. 3501,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2023-24293; 2023-28775; 2024-09105; 2024-25521; 2024-29353; 2025-14621; 2025-14681; 2025-19675; 2025-20907; 2026-07088; 2026-08280,"Agriculture Department; Centers for Medicare & Medicaid Services; Employment and Training Administration; Energy Department; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Inspector General Office, Health and Human Services Department; Interior Department; Labor Department; Land Management Bureau; Office of the Secretary",0,1,5,needs_direct_case_to_public_law_review,"Does SCDB case 1989-030 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (44 U.S.C. 3501) with Federal Register authority citations?","""ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al."" ""117-169"" ""117-hr-5376"" ""44 U.S.C. 3501""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
15,2,117-hr-5376,117-169,Economics and Public Finance,2018-018,STURGEON v. FROST,2018,3/26/2019,16 U.S.C. 3101,16 U.S.C. 3101,2023-28775; 2024-09105; 2025-14621; 2025-19675; 2026-07088; 2026-08280,"Agriculture Department; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau; Office of the Secretary",0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 2018-018 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (16 U.S.C. 3101) with Federal Register authority citations?","""STURGEON v. FROST"" ""117-169"" ""117-hr-5376"" ""16 U.S.C. 3101""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
16,2,117-hr-5376,117-169,Economics and Public Finance,2019-041,U.S. FOREST SERVICE v. COWPASTURE RIVER PRESERVATION ASSOCIATION,2019,6/15/2020,30 U.S.C. 181,30 U.S.C. 181,2023-28775; 2024-09105; 2025-14621; 2025-19675; 2026-07088; 2026-08280,"Agriculture Department; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau; Office of the Secretary",0,1,5,needs_direct_case_to_public_law_review,"Does SCDB case 2019-041 directly challenge, review, interpret, or invalidate public law 117-169 / 117-hr-5376, or does it only share U.S.C. section metadata (30 U.S.C. 181) with Federal Register authority citations?","""U.S. FOREST SERVICE v. COWPASTURE RIVER PRESERVATION ASSOCIATION"" ""117-169"" ""117-hr-5376"" ""30 U.S.C. 181""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
17,3,117-hr-6833,117-180,Economics and Public Finance,1957-118,FLORA v. UNITED STATES,1957,6/16/1958,28 U.S.C. 1346,28 U.S.C. 1346,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Office of the Secretary,0,1,7,needs_direct_case_to_public_law_review,"Does SCDB case 1957-118 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (28 U.S.C. 1346) with Federal Register authority citations?","""FLORA v. UNITED STATES"" ""117-180"" ""117-hr-6833"" ""28 U.S.C. 1346""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
18,3,117-hr-6833,117-180,Economics and Public Finance,1959-047,FLORA v. UNITED STATES,1959,3/21/1960,28 U.S.C. 1346,28 U.S.C. 1346,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Office of the Secretary,0,1,1,needs_direct_case_to_public_law_review,"Does SCDB case 1959-047 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (28 U.S.C. 1346) with Federal Register authority citations?","""FLORA v. UNITED STATES"" ""117-180"" ""117-hr-6833"" ""28 U.S.C. 1346""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
19,3,117-hr-6833,117-180,Economics and Public Finance,1973-124,"CORNING GLASS WORKS v. BRENNAN, SECRETARY OF LABOR",1973,6/3/1974,29 U.S.C. 206,29 U.S.C. 206,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Office of the Secretary,0,1,2,needs_direct_case_to_public_law_review,"Does SCDB case 1973-124 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (29 U.S.C. 206) with Federal Register authority citations?","""CORNING GLASS WORKS v. BRENNAN, SECRETARY OF LABOR"" ""117-180"" ""117-hr-6833"" ""29 U.S.C. 206""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
20,3,117-hr-6833,117-180,Economics and Public Finance,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",1989,2/21/1990,44 U.S.C. 3501,44 U.S.C. 3501,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2023-24293; 2023-28775; 2024-09105; 2024-25521; 2024-29353; 2025-14621; 2025-14681; 2025-19675; 2025-20907; 2026-07088; 2026-08280,"Agriculture Department; Centers for Medicare & Medicaid Services; Employment and Training Administration; Energy Department; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Inspector General Office, Health and Human Services Department; Interior Department; Labor Department; Land Management Bureau; Office of the Secretary",0,1,5,needs_direct_case_to_public_law_review,"Does SCDB case 1989-030 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (44 U.S.C. 3501) with Federal Register authority citations?","""ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al."" ""117-180"" ""117-hr-6833"" ""44 U.S.C. 3501""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
21,3,117-hr-6833,117-180,Economics and Public Finance,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2003,2/24/2004,5 U.S.C. 552,5 U.S.C. 552,2022-24728; 2022-26358; 2022-26814; 2022-27236; 2023-16252; 2023-18457; 2024-17021; 2024-24886; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Aviation Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Maritime Administration; Office of the Secretary; Transportation Department,0,1,3,needs_direct_case_to_public_law_review,"Does SCDB case 2003-032 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (5 U.S.C. 552) with Federal Register authority citations?","""BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR"" ""117-180"" ""117-hr-6833"" ""5 U.S.C. 552""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
22,3,117-hr-6833,117-180,Economics and Public Finance,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",2010,1/19/2011,5 U.S.C. 552,5 U.S.C. 552,2022-24728; 2022-26358; 2022-26814; 2022-27236; 2023-16252; 2023-18457; 2024-17021; 2024-24886; 2024-29353; 2025-14681,Centers for Medicare & Medicaid Services; Employment and Training Administration; Federal Aviation Administration; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Labor Department; Maritime Administration; Office of the Secretary; Transportation Department,0,1,8,needs_direct_case_to_public_law_review,"Does SCDB case 2010-010 directly challenge, review, interpret, or invalidate public law 117-180 / 117-hr-6833, or does it only share U.S.C. section metadata (5 U.S.C. 552) with Federal Register authority citations?","""NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al."" ""117-180"" ""117-hr-6833"" ""5 U.S.C. 552""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
23,4,117-hr-7776,117-263,Armed Forces and National Security,1998-047,UNITED STATES v. HAGGAR APPAREL COMPANY,1998,4/21/1999,19 U.S.C. 1202,19 U.S.C. 1202,2024-11825; 2024-14121; 2024-29227; 2025-20727; 2026-08148; 2026-11505,Coast Guard; Defense Acquisition Regulations System; Defense Department; Homeland Security Department; Office of the Secretary; Personnel Management Office; State Department; Transportation Security Administration; U.S. Customs and Border Protection,0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 1998-047 directly challenge, review, interpret, or invalidate public law 117-263 / 117-hr-7776, or does it only share U.S.C. section metadata (19 U.S.C. 1202) with Federal Register authority citations?","""UNITED STATES v. HAGGAR APPAREL COMPANY"" ""117-263"" ""117-hr-7776"" ""19 U.S.C. 1202""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
24,4,117-hr-7776,117-263,Armed Forces and National Security,1999-068,UNITED STATES v. WEBSTER L. HUBBELL,1999,6/5/2000,18 U.S.C. 6002,18 U.S.C. 6002,2024-11825; 2024-14121; 2024-29227; 2025-20727; 2026-08148; 2026-11505,Coast Guard; Defense Acquisition Regulations System; Defense Department; Homeland Security Department; Office of the Secretary; Personnel Management Office; State Department; Transportation Security Administration; U.S. Customs and Border Protection,0,1,7,needs_direct_case_to_public_law_review,"Does SCDB case 1999-068 directly challenge, review, interpret, or invalidate public law 117-263 / 117-hr-7776, or does it only share U.S.C. section metadata (18 U.S.C. 6002) with Federal Register authority citations?","""UNITED STATES v. WEBSTER L. HUBBELL"" ""117-263"" ""117-hr-7776"" ""18 U.S.C. 6002""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
25,4,117-hr-7776,117-263,Armed Forces and National Security,2000-076,UNITED STATES v. MEAD CORPORATION,2000,6/18/2001,19 U.S.C. 1202,19 U.S.C. 1202,2024-11825; 2024-14121; 2024-29227; 2025-20727; 2026-08148; 2026-11505,Coast Guard; Defense Acquisition Regulations System; Defense Department; Homeland Security Department; Office of the Secretary; Personnel Management Office; State Department; Transportation Security Administration; U.S. Customs and Border Protection,0,1,7,needs_direct_case_to_public_law_review,"Does SCDB case 2000-076 directly challenge, review, interpret, or invalidate public law 117-263 / 117-hr-7776, or does it only share U.S.C. section metadata (19 U.S.C. 1202) with Federal Register authority citations?","""UNITED STATES v. MEAD CORPORATION"" ""117-263"" ""117-hr-7776"" ""19 U.S.C. 1202""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
26,5,117-hr-7925,117-238,Armed Forces and National Security,1984-106,"HILLSBOROUGH COUNTY, FLORIDA, et al. v. AUTOMATED MEDICAL LABORATORIES, INC.",1984,6/3/1985,42 U.S.C. 262,42 U.S.C. 262,2023-24293; 2024-25521; 2025-20907,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 1984-106 directly challenge, review, interpret, or invalidate public law 117-238 / 117-hr-7925, or does it only share U.S.C. section metadata (42 U.S.C. 262) with Federal Register authority citations?","""HILLSBOROUGH COUNTY, FLORIDA, et al. v. AUTOMATED MEDICAL LABORATORIES, INC."" ""117-238"" ""117-hr-7925"" ""42 U.S.C. 262""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
27,5,117-hr-7925,117-238,Armed Forces and National Security,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",1989,2/21/1990,44 U.S.C. 3501,44 U.S.C. 3501,2022-24728; 2022-26814; 2022-27236; 2023-18457; 2023-24293; 2023-28775; 2024-09105; 2024-25521; 2024-29353; 2025-14621; 2025-14681; 2025-19675; 2025-20907; 2026-07088; 2026-08280,"Agriculture Department; Centers for Medicare & Medicaid Services; Employment and Training Administration; Energy Department; Federal Emergency Management Agency; Health and Human Services Department; Homeland Security Department; Inspector General Office, Health and Human Services Department; Interior Department; Labor Department; Land Management Bureau; Office of the Secretary",0,1,5,needs_direct_case_to_public_law_review,"Does SCDB case 1989-030 directly challenge, review, interpret, or invalidate public law 117-238 / 117-hr-7925, or does it only share U.S.C. section metadata (44 U.S.C. 3501) with Federal Register authority citations?","""ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al."" ""117-238"" ""117-hr-7925"" ""44 U.S.C. 3501""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
28,5,117-hr-7925,117-238,Armed Forces and National Security,2016-074,SANDOZ INC. v. AMGEN INC.,2016,6/12/2017,42 U.S.C. 262,42 U.S.C. 262,2023-24293; 2024-25521; 2025-20907,Centers for Medicare & Medicaid Services; Health and Human Services Department; Office of the Secretary,0,1,9,needs_direct_case_to_public_law_review,"Does SCDB case 2016-074 directly challenge, review, interpret, or invalidate public law 117-238 / 117-hr-7925, or does it only share U.S.C. section metadata (42 U.S.C. 262) with Federal Register authority citations?","""SANDOZ INC. v. AMGEN INC."" ""117-238"" ""117-hr-7925"" ""42 U.S.C. 262""",SCDB case row; Supreme Court opinion or syllabus; cited-statute table; Federal Register authority document; public-law text,scdb_law_minor_usc_section; federal_register_authority_usc_overlap; public_law_bill_metadata; court_public_law_review_queue,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; direct_case_to_rule_or_agency_docket; merits_record_statute_disposition_review; emergency_order_dataset; lower_court_history; causal_invalidation_effect; model_validation,"Court/public-law review queue only; rows are generated from SCDB lawMinor U.S.C.-section overlaps with Federal Register authority citations attached to cached public-law rows. The queue does not prove that the case directly challenged, reviewed, interpreted, or invalidated the listed public law, bill, agency rule, or implementation chain, and it is not emergency-order, lower-court, causal-effect, welfare, or model-validation evidence."
