review_rank,source_row_fingerprint,review_priority,manual_review_needed,manual_review_reason,bill_id,public_law_number,policy_area,sponsor_bioguide_id,committee_reported,floor_considered,enacted,filing_uuid,filing_year,filing_period,client_name,registrant_name,activity_issue,matched_bill_refs,text_review_status,preliminary_text_disposition,support_text_signal,opposition_text_signal,position_or_activity_text_signal,government_entity_scope,possible_member_or_committee_reference,target_review_status,bill_reference_context,recommended_next_review,evidence_layers,missing_links,source_urls,claim_boundary
49,6951cfbfa45427db,medium,yes,support_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,d71683c9-433e-4eeb-bb04-431870a5ff16,2021,3rd Quarter (July 1 - Sep 30),OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Science/Technology,HR 5376,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,support_for,none_detected,none_detected,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"...cy Assistance Act) Support for agriculture, oceans, wildfire related climate research investment to NSF, NOAA, Agriculture (HR 3684 Infrastructure Investment & Jobs Act; HR 5376 Build Back Better Act)","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
50,9ad4ef89180e60a9,medium,yes,support_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,d71683c9-433e-4eeb-bb04-431870a5ff16,2021,3rd Quarter (July 1 - Sep 30),OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Immigration,HR 5376,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,support_for,none_detected,none_detected,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,Support for statutory solution for DACA (HR 5376 Build Back Better Act),"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
51,3f5b41af43125a83,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,d87af326-ccf5-49f6-b1cc-b5580c9282d6,2021,3rd Quarter (July 1 - Sep 30),"SELECT MILK PRODUCERS, INC./CONTINENTAL DAIRY PRODUCTS, INC.","COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/d87af326-ccf5-49f6-b1cc-b5580c9282d6/print/; https://lda.gov/api/v1/filings/d87af326-ccf5-49f6-b1cc-b5580c9282d6/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
52,d06b1a91a2094bb4,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,e97b976e-471b-4041-984b-e7a24be843ab,2021,3rd Quarter (July 1 - Sep 30),SOUTH CAROLINA PEACH COUNCIL,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/e97b976e-471b-4041-984b-e7a24be843ab/print/; https://lda.gov/api/v1/filings/e97b976e-471b-4041-984b-e7a24be843ab/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
53,68c1675373e8bdfe,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,37ed1cfc-374c-452f-b3c9-fe383b4bb407,2021,3rd Quarter (July 1 - Sep 30),SOUTHWEST COUNCIL OF AGRIBUSINESS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/37ed1cfc-374c-452f-b3c9-fe383b4bb407/print/; https://lda.gov/api/v1/filings/37ed1cfc-374c-452f-b3c9-fe383b4bb407/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
54,6fef36dd635de532,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,46321926-ceff-430d-84af-bccd8b276372,2021,3rd Quarter (July 1 - Sep 30),SOUTHWEST COUNCIL OF AGRIBUSINESS,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/46321926-ceff-430d-84af-bccd8b276372/print/; https://lda.gov/api/v1/filings/46321926-ceff-430d-84af-bccd8b276372/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
55,b7df943fd4fec1f8,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec,2021,3rd Quarter (July 1 - Sep 30),USA RICE FEDERATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/print/; https://lda.gov/api/v1/filings/25c9d45c-3013-4d8e-a0f4-0c5ac895b1ec/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
56,539f4b0cf1709ac3,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,d822233b-5bac-43cd-a3d6-a930dfd437c5,2021,3rd Quarter (July 1 - Sep 30),WESTERN PEANUT GROWERS ASSOCIATION,"COMBEST, SELL & ASSOCIATES, LLC",Budget/Appropriations,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"SConRes 14, FY 2022 Budget Resolution regarding agricultural functions generally. HR 5376, FY 2022 Budget Reconciliation package regarding agricultural policy and tax policy affecting agriculture. HR 5305 (CR), HR 4502 (Consolidated Approps), HR 4356 and S 25...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/d822233b-5bac-43cd-a3d6-a930dfd437c5/print/; https://lda.gov/api/v1/filings/d822233b-5bac-43cd-a3d6-a930dfd437c5/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
57,52f90c49489b8705,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,9810f98f-39e1-4877-81d1-ea7598f8a4b0,2022,1st Quarter (Jan 1 - Mar 31),"ALTRIA CLIENT SERVICES, LLC","RESOLUTION PUBLIC AFFAIRS, LLC",Taxation/Internal Revenue Code,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,regarding,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"Issues regarding corporate taxation, generally HR 5376, Build Back Better Act, regarding Federal Excise Tax on Tobacco","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/9810f98f-39e1-4877-81d1-ea7598f8a4b0/print/; https://lda.gov/api/v1/filings/9810f98f-39e1-4877-81d1-ea7598f8a4b0/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
58,e3888dae69ac4424,medium,yes,support_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,f2e1ea8d-bbe6-4063-96bf-b9407ac73c5e,2022,1st Quarter (Jan 1 - Mar 31),BUILDING AND CONSTRUCTION TRADES DEPT AFL-CIO,"BUILDING AND CONSTRUCTION TRADES DEPT., AFL-CIO",Budget/Appropriations,HR 5376,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,advocacy_for,none_detected,lobbied_for_or_on,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,...It increases the permissible stock ownership and constructive stock ownership percentage in a REIT to 50% and modifies rules for taxable REIT subsidiaries. Bill in full. HR 5376 - The Build Back Better Act - Advocated for the inclusion of energy provisions and labor protections. Bill in full. No bill number - Justice 40 Initiative - Lobbied for...,"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/f2e1ea8d-bbe6-4063-96bf-b9407ac73c5e/print/; https://lda.gov/api/v1/filings/f2e1ea8d-bbe6-4063-96bf-b9407ac73c5e/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
59,55e86bc10f288c5f,medium,yes,opposition_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,56e755d5-45d7-4703-bd33-2eb4903361c9,2022,1st Quarter (Jan 1 - Mar 31),CSX CORPORATION,"THE SMITH-FREE GROUP, LLC",Railroads,HR 5376,exact_bill_text_with_explicit_opposition_signal,opposition_signal_needs_manual_confirmation,none_detected,oppose,related_to; monitoring,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,...etition in the American Economy Discussions involving Gulf Coast passenger service S 2016 Rail Shipper Fairness Act of 2021 (all sections of full text)(oppose) Monitored HR 5376 Build Back Better Act Monitored discussions related to truck size and weight Monitored implementation of P.L. 117-2 American Rescue Plan Act of 2021,"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/56e755d5-45d7-4703-bd33-2eb4903361c9/print/; https://lda.gov/api/v1/filings/56e755d5-45d7-4703-bd33-2eb4903361c9/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
60,0184c7bcdf8d7f16,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,6aa81f96-8483-4f3d-89d5-18411937f550,2022,1st Quarter (Jan 1 - Mar 31),HCA,"THE SMITH-FREE GROUP, LLC",Education,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,related_to; monitoring,no_government_entity_disclosed,not_detected_in_activity_text,no_government_entity_context_or_specific_target_detected,"Monitored HR 5376 Build Back Better Act, provisions related to health care and pell grants","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/6aa81f96-8483-4f3d-89d5-18411937f550/print/; https://lda.gov/api/v1/filings/6aa81f96-8483-4f3d-89d5-18411937f550/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
61,480ab719eb2cdb73,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,9939d6d3-84b0-4d5a-ba9f-af8df33f48a2,2022,1st Quarter (Jan 1 - Mar 31),"KOCH GOVERNMENT AFFAIRS, LLC","THE NICKLES GROUP, LLC",Taxation/Internal Revenue Code,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,issues_related_to; related_to,single_chamber_entity_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"...t, S. 3208 / H.R. 7061, Big Oil Windfall Profits Tax Act, and H.R. 7099, the Stop Gas Price Gouging Tax and Rebate Act, and issues related to taxation of energy sources. HR 5376, the Build Back Better Act, as it relates to business taxes. Issues related to IRS/free speech activities.","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/print/; https://lda.gov/api/v1/filings/9939d6d3-84b0-4d5a-ba9f-af8df33f48a2/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
62,22a0e64381eda2e1,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,dc2225f6-036b-479d-88a0-449bbbed2b97,2022,1st Quarter (Jan 1 - Mar 31),LEADING BUILDERS OF AMERICA,KENNETH GEAR,Immigration,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,related_to,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,No bill number: DACA program and low skilled guest worker visa program HR 5376 - provisions related to DACA and low skilled visa programs,"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
63,643b4bd26c9d3480,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,dc2225f6-036b-479d-88a0-449bbbed2b97,2022,1st Quarter (Jan 1 - Mar 31),LEADING BUILDERS OF AMERICA,KENNETH GEAR,Taxation/Internal Revenue Code,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,related_to,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"HR3684 President's Build Back Better Infrastructure plan - 45L energy tax provisions HR 5376 45L New Home energy tax credit, tax provisions related to pass through entities","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
64,85fc7e499cb3f9d4,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,dc2225f6-036b-479d-88a0-449bbbed2b97,2022,1st Quarter (Jan 1 - Mar 31),LEADING BUILDERS OF AMERICA,KENNETH GEAR,Energy/Nuclear,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,related_to,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,No bill number: SAVE Act - energy efficient home appraisals HR 5376 45L tax credit for energy efficient homes No bill number: Energy Star Program Updates as they related to mandatory building envelope requirements,"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/dc2225f6-036b-479d-88a0-449bbbed2b97/print/; https://lda.gov/api/v1/filings/dc2225f6-036b-479d-88a0-449bbbed2b97/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
65,194349d1b7170bc4,medium,yes,position_or_activity_signal,117-hr-5376,117-169,Economics and Public Finance,Y000062,1,1,1,f39ffaee-908a-4971-b773-f46a185971ed,2022,1st Quarter (Jan 1 - Mar 31),MAINSPRING ENERGY,"RESOLUTION PUBLIC AFFAIRS, LLC",Taxation/Internal Revenue Code,HR 5376,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,issues_related_to; related_to,house_and_senate_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"...Act. Issues related to linear generator parity S 1485 Linear Generator Parity Act of 2021 S 2118, Clean Energy for America Act. Issues related to linear generator parity HR 5376, Build Back Better Act. Issues related to linear generator parity","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/f39ffaee-908a-4971-b773-f46a185971ed/print/; https://lda.gov/api/v1/filings/f39ffaee-908a-4971-b773-f46a185971ed/; https://www.congress.gov/bill/117th-congress/hr-bill/5376; https://api.congress.gov/v3/bill/117/hr/5376,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
