packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,denominator_district_count,matched_denominator_districts,missing_denominator_districts,total_pop100,total_hu100,total_land_area_sq_km,total_water_area_sq_km,mean_population_density_per_sq_km,mean_housing_unit_density_per_sq_km,denominator_status,denominator_source,evidence_layers,missing_links,source_url,claim_boundary
11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,1,NY-10,,803803,385458,36.379,23.700,22095.511,10595.745,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2736%27+AND+BASENAME%3D%2710%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,1,UT-01,,800097,287420,50891.073,2984.435,15.722,5.648,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2749%27+AND+BASENAME%3D%271%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,1,MD-06,,791619,313735,5056.644,97.552,156.550,62.044,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2724%27+AND+BASENAME%3D%276%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,1,NY-10,,803803,385458,36.379,23.700,22095.511,10595.745,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2736%27+AND+BASENAME%3D%2710%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,1,OR-03,,851078,366618,2782.753,82.105,305.840,131.747,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2741%27+AND+BASENAME%3D%273%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
16,117-hr-6386,117-295,Government Operations and Politics,IL-08,1,IL-08,,716990,274412,532.933,10.089,1345.366,514.909,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2717%27+AND+BASENAME%3D%278%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,1,NY-05,,778780,256319,134.495,193.580,5790.398,1905.787,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2736%27+AND+BASENAME%3D%275%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,1,CA-15,,796711,271264,1549.337,73.697,514.227,175.084,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2706%27+AND+BASENAME%3D%2715%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
19,117-hr-4693,117-214,International Affairs,TX-10,1,TX-10,,937982,370651,13138.391,182.069,71.392,28.211,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2748%27+AND+BASENAME%3D%2710%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
20,117-hr-6899,117-185,International Affairs,AR-02,1,AR-02,,769391,351592,12887.677,308.681,59.700,27.281,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2705%27+AND+BASENAME%3D%272%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
21,117-hr-7334,117-165,Commerce,MO-03,1,MO-03,,804485,351041,17744.504,368.922,45.337,19.783,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2729%27+AND+BASENAME%3D%273%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
22,117-hr-5681,117-113,Immigration,NY-24,1,NY-24,,717307,322297,6186.432,3271.899,115.948,52.097,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2736%27+AND+BASENAME%3D%2724%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
