packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,candidate_policy_preference_item_ids,candidate_policy_preference_item_count,candidate_items_with_response_distribution_count,candidate_item_year_distribution_rows,source_item_response_observation_count,source_item_blank_observation_count,observed_response_years,observed_response_year_count,response_distribution_status,exact_bill_topic_support_status,support_direction_status,district_estimation_status,affected_group_item_status,required_next_action,source_urls,evidence_layers,missing_links,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,"crime, policing, sentencing, or law-enforcement bill support",guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,6,96,1481917,1862819,2010; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,11,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,"public-lands, conservation, resource, or environmental-management bill support",enviro_airwateracts; enviro_carbon; enviro_mpg_raise; enviro_renewable; enviro_scale; enviro_vs_jobs,6,6,96,1586158,1758578,2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,16,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx; https://gssdataexplorer.norc.org/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,"crime, policing, sentencing, or law-enforcement bill support",guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,6,96,1481917,1862819,2010; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,11,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,civil-rights or minority-rights bill support,affirmativeaction; affirmativeaction_scale; gaymarriage_ban; gaymarriage_legalize; gaymarriage_scale,5,5,80,639215,2148065,2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016,11,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://prri.org/prri-research/data-vault/; https://www.pewresearch.org/datasets/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,"crime, policing, sentencing, or law-enforcement bill support",guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,6,96,1481917,1862819,2010; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,11,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,"government-operations, democracy, ethics, or institutional-reform bill support",,0,0,0,0,0,,0,no_candidate_item_response_distribution_available,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,"banking, credit, investor, or financial-regulation bill support",incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_vs_tax,4,4,64,1335165,894659,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2020,12,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,"crime, policing, sentencing, or law-enforcement bill support",guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,6,96,1481917,1862819,2010; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,11,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,9,144,2680306,2336798,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2018; 2019; 2020; 2021,14,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,9,144,2680306,2336798,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2018; 2019; 2020; 2021,14,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
21,21,117-hr-7334,117-165,Commerce,MO-03,"commerce, consumer, or business-regulation bill support",trade_canmex_except; trade_canmex_include; trade_china,3,3,48,465070,1207298,2018; 2019; 2020; 2021,4,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
22,22,117-hr-5681,117-113,Immigration,NY-24,"immigration, border, naturalization, or noncitizen-policy bill support",immig_border; immig_deport; immig_employer; immig_legalize; immig_police; immig_reduce; immig_report; immig_services; immig_wall,9,9,144,1957650,3059454,2007; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,13,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://prri.org/prri-research/data-vault/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
