packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,policy_preference_source_name,policy_preference_dataset_doi,policy_preference_dataset_version,policy_preference_dataset_release_time,candidate_policy_preference_item_ids,candidate_policy_preference_item_count,candidate_policy_preference_issue_areas,candidate_policy_preference_short_labels,candidate_item_review_status,exact_bill_topic_support_status,district_estimation_status,affected_group_item_status,required_next_action,source_urls,evidence_layers,missing_links,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,Guns; Spending,guns_assaultban: Ban assault rifles; guns_bgchecks: Background checks for guns for all sales; guns_names: Prohibit publishing gun owner names; guns_permits: Allow concealed-carry permits; guns_scale: Restriction scale on gun sales; spending_police: Spending preferences on law enforcement,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,"public-lands, conservation, resource, or environmental-management bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,enviro_airwateracts; enviro_carbon; enviro_mpg_raise; enviro_renewable; enviro_scale; enviro_vs_jobs,6,Environment,enviro_airwateracts: Strengthen the Clean Air Act and Clean Water Act; enviro_carbon: Allow EPA to regulate carbon dioxide emissions; enviro_mpg_raise: Raise average fuel-efficiency standards; enviro_renewable: Require more electricity from renewable sources; enviro_scale: Opposition scale to climate change action; enviro_vs_jobs: Preference between environmental protection and job availability,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx; https://gssdataexplorer.norc.org/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,Guns; Spending,guns_assaultban: Ban assault rifles; guns_bgchecks: Background checks for guns for all sales; guns_names: Prohibit publishing gun owner names; guns_permits: Allow concealed-carry permits; guns_scale: Restriction scale on gun sales; spending_police: Spending preferences on law enforcement,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,civil-rights or minority-rights bill support,CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,affirmativeaction; affirmativeaction_scale; gaymarriage_ban; gaymarriage_legalize; gaymarriage_scale,5,Other,affirmativeaction: Support affirmative action; affirmativeaction_scale: Scale on affirmative action support; gaymarriage_ban: Support banning gay marriage; gaymarriage_legalize: Support legalizing gay marriage; gaymarriage_scale: Scale on gay marriage support,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://prri.org/prri-research/data-vault/; https://www.pewresearch.org/datasets/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,Guns; Spending,guns_assaultban: Ban assault rifles; guns_bgchecks: Background checks for guns for all sales; guns_names: Prohibit publishing gun owner names; guns_permits: Allow concealed-carry permits; guns_scale: Restriction scale on gun sales; spending_police: Spending preferences on law enforcement,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,Cumulative CES Policy Preferences,,,,,0,,,no_official_ces_policy_preference_candidate_item_for_policy_area,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,"banking, credit, investor, or financial-regulation bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_vs_tax,4,Other; Spending,incometax_vs_salestax: Preference between income tax and sales tax; spending_cuts_least: Least preferred spending cut option; spending_cuts_most: Most preferred spending cut option; spending_vs_tax: Preference between tax increases and spending cuts,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,guns_assaultban; guns_bgchecks; guns_names; guns_permits; guns_scale; spending_police,6,Guns; Spending,guns_assaultban: Ban assault rifles; guns_bgchecks: Background checks for guns for all sales; guns_names: Prohibit publishing gun owner names; guns_permits: Allow concealed-carry permits; guns_scale: Restriction scale on gun sales; spending_police: Spending preferences on law enforcement,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,Military; Trade,military_democracy: Approve of military action to assist democracy; military_genocide: Approve of military action to intervene in genocide or civil war; military_helpun: Approve of military action to help the United Nations; military_oil: Approve of military action to ensure oil supply; military_protectallies: Approve of military action to protect allies; military_terroristcamp: Approve of military action to destroy terrorist camps; trade_canmex_except: Trade policy toward Canada and Mexico excluding some sectors; trade_canmex_include: Trade policy toward Canada and Mexico including more sectors; trade_china: Trade policy toward China,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; trade_canmex_except; trade_canmex_include; trade_china,9,Military; Trade,military_democracy: Approve of military action to assist democracy; military_genocide: Approve of military action to intervene in genocide or civil war; military_helpun: Approve of military action to help the United Nations; military_oil: Approve of military action to ensure oil supply; military_protectallies: Approve of military action to protect allies; military_terroristcamp: Approve of military action to destroy terrorist camps; trade_canmex_except: Trade policy toward Canada and Mexico excluding some sectors; trade_canmex_include: Trade policy toward Canada and Mexico including more sectors; trade_china: Trade policy toward China,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
21,21,117-hr-7334,117-165,Commerce,MO-03,"commerce, consumer, or business-regulation bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,trade_canmex_except; trade_canmex_include; trade_china,3,Trade,trade_canmex_except: Trade policy toward Canada and Mexico excluding some sectors; trade_canmex_include: Trade policy toward Canada and Mexico including more sectors; trade_china: Trade policy toward China,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
22,22,117-hr-5681,117-113,Immigration,NY-24,"immigration, border, naturalization, or noncitizen-policy bill support",CES/CCES,Cumulative CES Policy Preferences,10.7910/DVN/OSXDQO,3.0,2023-01-18T18:03:54Z,immig_border; immig_deport; immig_employer; immig_legalize; immig_police; immig_reduce; immig_report; immig_services; immig_wall,9,Immigration,immig_border: Increase border patrols on the U.S.-Mexican border; immig_deport: Identify and deport undocumented immigrants; immig_employer: Sanction employers hiring undocumented immigrants; immig_legalize: Grant legal status to undocumented immigrants; immig_police: Allow police questioning of suspected undocumented immigrants; immig_reduce: Reduce legal immigration; immig_report: Withhold funding from police failing to report undocumented immigrants; immig_services: Prohibit services for undocumented immigrants; immig_wall: Increase spending on border security including a wall,official_ces_policy_preference_candidate_items_found_no_bill_support_estimate,no_exact_bill_topic_support_estimate,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review candidate variable wording against the specific public-law bill text, merge respondent geography from Cumulative CES Common Content where suitable, then build or import MRP/small-area estimates and bill-text-specific affected population support/harm measures before using any row as bill-topic public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://prri.org/prri-research/data-vault/,public_opinion_survey_source_crosswalk; official_dataverse_policy_preferences_metadata; official_policy_preferences_tabular_header; ces_policy_preferences_guide_candidate_item_review; district_public_opinion_ces_policy_item_candidate_review,exact_bill_topic_item_wording_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference item-candidate review only; rows join queued public-law source packets to official Cumulative CES Policy Preferences variable IDs where a broad policy-area candidate exists. These candidate IDs are not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
