readiness_rank,action_rank,bill_id,public_law_number,policy_area,sponsor_districts,proxy_row_count,proxy_issue_count,proxy_issues,mean_support,mean_affected_group_proxy,source_reviewed_bill_item_alignment_rows,issue_specific_support_rows,historical_issue_support_years,historical_issue_support_items,historical_weighted_support_min,historical_weighted_support_max,exact_bill_support_rows,mrp_or_small_area_rows,affected_group_support_rows,bill_topic_public_opinion_status,mrp_or_small_area_status,affected_group_status,next_review_sources,review_packet,evidence_layers,missing_links,source_url,claim_boundary
11,16,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.589735,0.058488,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-1652: map Crime and Law Enforcement to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1652,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
12,17,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.479926,0.017294,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-3113: map Public Lands and Natural Resources to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/3113,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
13,18,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.634909,0.162135,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-6943: map Crime and Law Enforcement to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6943,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
14,19,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.589735,0.058488,1,2,2012; 2016,gaymarriage_legalize,0.728980,0.785419,0,0,0,historical_related_issue_district_support_available_not_exact_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-8404: retain the historical related-issue estimate separately, acquire exact or closer contemporaneous bill-topic support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue; source_reviewed_historical_issue_item_alignment; privacy_thresholded_direct_weighted_district_issue_estimate,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://cces.gov.harvard.edu/frequently-asked-questions; https://dataverse.harvard.edu/api/access/datafile/10803737; https://dataverse.harvard.edu/api/access/datafile/2500154; https://dataverse.harvard.edu/api/access/datafile/2688939; https://dataverse.harvard.edu/api/access/datafile/3123547; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GDF6Z0; https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HQEVPK; https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://www.congress.gov/bill/117th-congress/hr-bill/8404,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
15,20,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.706502,0.040480,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-8454: map Crime and Law Enforcement to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/8454,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
16,21,117-hr-6386,117-295,Government Operations and Politics,IL-08,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.539369,0.117739,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-6386: map Government Operations and Politics to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6386,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
17,24,117-hr-1842,117-163,Finance and Financial Sector,NY-05,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.654919,0.043886,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-1842: map Finance and Financial Sector to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1842,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
18,25,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.783962,0.109203,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-3359: map Crime and Law Enforcement to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/3359,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
19,26,117-hr-4693,117-214,International Affairs,TX-10,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.434581,0.164362,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-4693: map International Affairs to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/4693,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
20,27,117-hr-6899,117-185,International Affairs,AR-02,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.489352,0.058429,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-6899: map International Affairs to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6899,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
21,28,117-hr-7334,117-165,Commerce,MO-03,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.396993,0.049531,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-7334: map Commerce to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7334,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
