review_rank,triage_rank,review_queue_rank,bill_id,public_law_number,case_id,case_name,decision_date,enacted_date,days_after_enactment,matched_usc_sections,direct_review_determination,direct_case_to_public_law_identifier,direct_case_to_bill_identifier,reviewed_case_disposition_to_public_law,usc_section_relationship,case_source_url,public_law_source_url,case_source_summary,public_law_source_summary,source_review_notes,evidence_layers,missing_links,claim_boundary
11,11,10,117-hr-1437,117-229,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",1/19/2011,2022-12-16,-4349,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
12,12,11,117-hr-5376,117-169,1962-122,"BOESCHE, ADMINISTRATOR, v. UDALL, SECRETARY OF THE INTERIOR",5/27/1963,2022-08-16,-21631,30 U.S.C. 181,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
13,13,12,117-hr-5376,117-169,1965-093,WALLIS v. PAN AMERICAN PETROLEUM CORP. et al.,4/25/1966,2022-08-16,-20567,30 U.S.C. 181,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
14,14,13,117-hr-5376,117-169,1979-098,"ANDRUS, SECRETARY OF THE INTERIOR v. SHELL OIL CO. et al.",6/2/1980,2022-08-16,-15415,30 U.S.C. 181,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
15,15,14,117-hr-5376,117-169,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",2/21/1990,2022-08-16,-11864,44 U.S.C. 3501,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
16,16,15,117-hr-5376,117-169,2018-018,STURGEON v. FROST,3/26/2019,2022-08-16,-1239,16 U.S.C. 3101,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
17,17,16,117-hr-5376,117-169,2019-041,U.S. FOREST SERVICE v. COWPASTURE RIVER PRESERVATION ASSOCIATION,6/15/2020,2022-08-16,-792,30 U.S.C. 181,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
18,18,17,117-hr-6833,117-180,1957-118,FLORA v. UNITED STATES,6/16/1958,2022-09-30,-23482,28 U.S.C. 1346,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
19,19,18,117-hr-6833,117-180,1959-047,FLORA v. UNITED STATES,3/21/1960,2022-09-30,-22838,28 U.S.C. 1346,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
20,20,19,117-hr-6833,117-180,1973-124,"CORNING GLASS WORKS v. BRENNAN, SECRETARY OF LABOR",6/3/1974,2022-09-30,-17651,29 U.S.C. 206,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
21,21,20,117-hr-6833,117-180,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",2/21/1990,2022-09-30,-11909,44 U.S.C. 3501,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
22,22,21,117-hr-6833,117-180,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2/24/2004,2022-09-30,-6793,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
23,23,22,117-hr-6833,117-180,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",1/19/2011,2022-09-30,-4272,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
24,24,23,117-hr-7776,117-263,1998-047,UNITED STATES v. HAGGAR APPAREL COMPANY,4/21/1999,2022-12-23,-8647,19 U.S.C. 1202,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
25,25,24,117-hr-7776,117-263,1999-068,UNITED STATES v. WEBSTER L. HUBBELL,6/5/2000,2022-12-23,-8236,18 U.S.C. 6002,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
26,26,25,117-hr-7776,117-263,2000-076,UNITED STATES v. MEAD CORPORATION,6/18/2001,2022-12-23,-7858,19 U.S.C. 1202,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
27,27,26,117-hr-7925,117-238,1984-106,"HILLSBOROUGH COUNTY, FLORIDA, et al. v. AUTOMATED MEDICAL LABORATORIES, INC.",6/3/1985,2022-12-20,-13714,42 U.S.C. 262,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
28,28,27,117-hr-7925,117-238,1989-030,"ELIZABETH DOLE, SECRETARY OF LABOR, et al. v. UNITED STEELWORKERS OF AMERICA et al.",2/21/1990,2022-12-20,-11990,44 U.S.C. 3501,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
29,29,28,117-hr-7925,117-238,2016-074,SANDOZ INC. v. AMGEN INC.,6/12/2017,2022-12-20,-2017,42 U.S.C. 262,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
30,30,29,117-hr-7132,117-223,2020-027,FACEBOOK INC. v. DUGUID,4/1/2021,2022-12-07,-615,47 U.S.C. 227,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
31,31,31,117-hr-2472,117-269,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2/24/2004,2022-12-27,-6881,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
32,32,32,117-hr-2472,117-269,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",1/19/2011,2022-12-27,-4360,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
33,33,33,117-s-516,117-203,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2/24/2004,2022-10-17,-6810,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
34,34,34,117-s-516,117-203,2010-010,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",1/19/2011,2022-10-17,-4289,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
