packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,acs_context_district_count,matched_acs_context_districts,missing_acs_context_districts,total_acs_population_est,total_veterans_est,veteran_share,total_foreign_born_est,total_not_us_citizen_est,noncitizen_share,total_non_english_home_language_est,non_english_home_language_share,total_with_disability_est,with_disability_share,total_below_poverty_est,below_poverty_share,total_civilian_labor_force_est,total_unemployed_est,unemployment_rate,mean_median_household_income_est,total_households_est,total_no_internet_access_est,no_internet_access_share,black_alone_share,asian_alone_share,hispanic_or_latino_share,selected_acs_context_fields,still_missing_policy_specific_fields,acs_context_status,acs_context_source,evidence_layers,missing_links,source_urls,claim_boundary
11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,1,NY-10,,763710,11409,0.0187,233093,106109,0.1389,318989,0.4474,64337,0.0845,110281,0.1484,418644,25059,0.0599,103575.000,319921,28062,0.0877,0.0382,0.1872,0.1303,race; ethnicity; poverty; employment; disability; language,justice-system exposure; victimization/policing outcome; affected-community support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,1,UT-01,,792511,37027,0.0674,43821,22948,0.0290,81695,0.1115,78533,0.1000,66919,0.0854,396145,11786,0.0298,78171.000,251390,14286,0.0568,0.0101,0.0145,0.1312,employment; poverty; median_household_income; households; race; ethnicity,land-adjacent or tribal/Indigenous target geography; resource-user group; environmental harm/source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,1,MD-06,,784464,38013,0.0629,164625,67377,0.0859,206525,0.2802,86731,0.1134,71074,0.0934,416116,21322,0.0512,90692.000,287232,23074,0.0803,0.1375,0.1164,0.1451,race; ethnicity; poverty; employment; disability; language,justice-system exposure; victimization/policing outcome; affected-community support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,1,NY-10,,763710,11409,0.0187,233093,106109,0.1389,318989,0.4474,64337,0.0845,110281,0.1484,418644,25059,0.0599,103575.000,319921,28062,0.0877,0.0382,0.1872,0.1303,race; ethnicity; citizenship; language; disability; poverty,bill-targeted protected class; discrimination or harm outcome; affected-group support source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,1,OR-03,,844479,38785,0.0568,108614,49033,0.0581,153201,0.1910,106368,0.1266,101923,0.1227,484142,26787,0.0553,76658.000,341554,21372,0.0626,0.0492,0.0743,0.1193,race; ethnicity; poverty; employment; disability; language,justice-system exposure; victimization/policing outcome; affected-community support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
16,117-hr-6386,117-295,Government Operations and Politics,IL-08,1,IL-08,,720276,20864,0.0379,209508,101245,0.1406,307734,0.4565,62192,0.0868,60916,0.0853,400877,18825,0.0470,80043.000,260234,17774,0.0683,0.0548,0.1351,0.2944,citizenship; language; disability; internet_access; race; ethnicity,voting-age citizen by access burden; election-administration exposure; democracy/trust survey item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,1,NY-05,,813708,15769,0.0247,349819,111266,0.1367,258964,0.3384,84290,0.1044,87360,0.1090,416217,33540,0.0806,80351.000,238449,25459,0.1068,0.4649,0.1535,0.1928,median_household_income; poverty; employment; unemployment; households,borrower/investor/account-holder target group; financial-access harm/source; bill-topic public support,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,1,CA-15,,796865,23382,0.0381,284697,119629,0.1501,369251,0.4916,64434,0.0813,46734,0.0592,427673,18949,0.0443,130999.000,259140,11713,0.0452,0.0560,0.3751,0.2214,race; ethnicity; poverty; employment; disability; language,justice-system exposure; victimization/policing outcome; affected-community support/harm source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
19,117-hr-4693,117-214,International Affairs,TX-10,1,TX-10,,921341,39612,0.0579,159971,87990,0.0955,253376,0.2958,86820,0.0949,79496,0.0877,488649,23581,0.0483,85693.000,333556,26354,0.0790,0.1144,0.0648,0.3006,foreign_born; language; employment; poverty; median_household_income,trade-exposed industry/worker denominator; diaspora or sanctions target group; foreign-policy survey item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
20,117-hr-6899,117-185,International Affairs,AR-02,1,AR-02,,767099,49220,0.0841,31927,19345,0.0252,46826,0.0650,123739,0.1634,109267,0.1456,373545,17725,0.0475,55764.000,306352,40321,0.1316,0.2330,0.0165,0.0546,foreign_born; language; employment; poverty; median_household_income,trade-exposed industry/worker denominator; diaspora or sanctions target group; foreign-policy survey item,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
21,117-hr-7334,117-165,Commerce,MO-03,1,MO-03,,800026,52246,0.0850,18105,7560,0.0094,24578,0.0326,101345,0.1284,66319,0.0851,416983,16183,0.0388,73398.000,303411,29240,0.0964,0.0352,0.0119,0.0264,employment; unemployment; median_household_income; poverty; internet_access,industry-specific affected firms/workers; small-business owner denominators; consumer harm/support source,official_acs_2017_2021_5yr_district_context,"U.S. Census Bureau ACS 2017-2021 5-year detailed tables, table-based Summary File",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/documentation/Geos20215YR.txt; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b02001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b03003.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b05002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b16001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b18101.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b19013.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b21001.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b23025.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-b28002.dat; https://www2.census.gov/programs-surveys/acs/summary_file/2021/table-based-SF/data/5YRData/acsdt5y2021-c17002.dat,"ACS context rows provide broad 2017-2021 district demographic, economic, language, disability, internet, citizenship, and veteran context selected by source-packet policy area; they are not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
