manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,support_text_signals,opposition_text_signals,manual_review_source,manual_packet_disposition_status,manual_packet_disposition,manual_packet_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
11,61,039e59f4cccbe6bd,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",LOG CABIN REPUBLICANS,LOG CABIN REPUBLICANS,Civil Rights/Civil Liberties,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,2,93f4e59b37163766; e9713b98995cbf7c,90; 92,in_support_of,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_hr_8404_in_support_of_bill_to_codify_marriage_equality,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for the current bill only,"HR 8404 - The Respect for Marriage Act ; in support of the bill to codify marriage equality and interracial marriage in to law, repealing the Defense of Marriage Act.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/8404; https://lda.gov/api/v1/filings/1e73cfa0-a826-49dc-a72a-934a2b6b6ca8/; https://lda.gov/api/v1/filings/553bce7b-654b-4fda-ad0e-d519c0232286/; https://lda.gov/filings/public/filing/1e73cfa0-a826-49dc-a72a-934a2b6b6ca8/print/; https://lda.gov/filings/public/filing/553bce7b-654b-4fda-ad0e-d519c0232286/print/; https://www.congress.gov/bill/117th-congress/hr-bill/8404,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
12,63,38ef60d57b467a9c,117-hr-8454,117-215,Crime and Law Enforcement,EPILEPSY FOUNDATION,EPILEPSY FOUNDATION,Health Issues,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,dd3f4305fd6b3b89,94,support_bill_or_legislation; support_passage,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_hr_8454_medical_marijuana_research_expansion_act_support_passage,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support passage text for the current bill only,"...mechanism; and barring the use of discriminatory quality-adjusted life year (QALY) in prescription drug legislation. -S. 464/H.R. 2163, Safe Step Act, support passage. -HR 8454 Medical Marijuana and Cannabidiol Research Expansion Act, support passage. -Identify and make recommendations on improvements to federal law for access to medical cannab...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/8454; https://lda.gov/api/v1/filings/b321cbfc-d50e-45af-8c51-1559d61539be/; https://lda.gov/filings/public/filing/b321cbfc-d50e-45af-8c51-1559d61539be/print/; https://www.congress.gov/bill/117th-congress/hr-bill/8454,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
13,64,e20e31e645f725a8,117-s-2089,117-158,Agriculture and Food,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",Agriculture,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,181fc921e58a2b80,96,support_for,none_detected,official_lda_activity_text,reviewed_direction_signal_on_other_measure,current_bill_reference_without_confirmed_support,support_phrase_belongs_to_h_res_980_not_s_2089_keep_kids_fed_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Support phrase appears in a separate resolution title while S2089 is listed without direction,"HR 8150, S 2089- Keep Kids Fed Act of 2022 HR 5919- Early Childhood Nutrition Improvement Act H Res 980- Expressing support for ... National CACFP Week S 1270- Access to Healthy Food fo...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/2089; https://lda.gov/api/v1/filings/b684bb8c-3d77-47ed-871f-eef19a77975e/; https://lda.gov/filings/public/filing/b684bb8c-3d77-47ed-871f-eef19a77975e/print/; https://www.congress.gov/bill/117th-congress/s-bill/2089,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
14,65,4afb881f124eafc9,117-s-2089,117-158,Agriculture and Food,THE HEALTH FEDERATION OF PHILADELPHIA,"LINCHPIN STRATEGIES, LLC",Family issues/Abortion/Adoption,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,2,31940bca1b46df95; a618958b59ebfa0d,97; 98,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_advocacy_for_child_care_meal_funding_in_keep_kids_fed_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms advocacy for funding in the current bill context only,"Funding and support for at-home child care providers (no bill number); Advocacy for child care meal funding in the Keep Kids Fed Act, S. 2089 and HR 8150.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/2089; https://lda.gov/api/v1/filings/a8d3217c-3601-4c35-89da-d3028367e54b/; https://lda.gov/api/v1/filings/d3c40e07-b58e-48b2-a339-1476560aa3f4/; https://lda.gov/filings/public/filing/a8d3217c-3601-4c35-89da-d3028367e54b/print/; https://lda.gov/filings/public/filing/d3c40e07-b58e-48b2-a339-1476560aa3f4/print/; https://www.congress.gov/bill/117th-congress/s-bill/2089,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
15,67,d34213128311764f,117-s-2520,117-150,Emergency Management,SALTCHUK RESOURCES INC,"ADAMS AND REESE, LLP",Budget/Appropriations,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,8,195723ee110fde1c; 1cae050fd6677406; 2c62a80e5459b49d; 4013469a9f972910; 474b7f8341a7b968; 6424c5999d524d20; 9f64c498dd5e726c; e74fa590e35ac3ca,105; 106; 107; 108; 109; 110; 111; 112,supporting,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_supporting_authorized_appropriations_including_s_2520,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for authorized appropriations including the current bill only,"Supporting authorized appropriations for the National Security Mult-Mission Vessel in Transportation-HUD legislation, including H.R. 3163, H.R. 3055, and S. 2520",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/2520; https://lda.gov/api/v1/filings/0e26658a-0b14-4a8e-ace3-9e2622dddee3/; https://lda.gov/api/v1/filings/25872b71-bf4e-488a-b0dd-dc86e904a466/; https://lda.gov/api/v1/filings/623ea684-a8c0-4ed6-a7ed-c23a52980d31/; https://lda.gov/api/v1/filings/69d46803-d043-498d-83ac-60ec64a8390a/; https://lda.gov/api/v1/filings/8ff188ab-0443-4a1c-b24e-ef4fc97b1a12/; https://lda.gov/api/v1/filings/98f7c1a8-66cb-4b2b-90d7-873dff31f9d4/; https://lda.gov/api/v1/filings/c1e732ba-5079-417e-b123-c2560da45539/; https://lda.gov/api/v1/filings/e85cd1fe-5281-4b41-9c1d-d2d42d7bb8cd/; https://lda.gov/filings/public/filing/0e26658a-0b14-4a8e-ace3-9e2622dddee3/print/; https://lda.gov/filings/public/filing/25872b71-bf4e-488a-b0dd-dc86e904a466/print/; https://lda.gov/filings/public/filing/623ea684-a8c0-4ed6-a7ed-c23a52980d31/print/; https://lda.gov/filings/public/filing/69d46803-d043-498d-83ac-60ec64a8390a/print/; https://lda.gov/filings/public/filing/8ff188ab-0443-4a1c-b24e-ef4fc97b1a12/print/; https://lda.gov/filings/public/filing/98f7c1a8-66cb-4b2b-90d7-873dff31f9d4/print/; https://lda.gov/filings/public/filing/c1e732ba-5079-417e-b123-c2560da45539/print/; https://lda.gov/filings/public/filing/e85cd1fe-5281-4b41-9c1d-d2d42d7bb8cd/print/; https://www.congress.gov/bill/117th-congress/s-bill/2520,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
16,70,b3cbf8afc616db9d,117-s-3373,117-168,Armed Forces and National Security,AMERICAN LEGION,THE AMERICAN LEGION,Veterans,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,699f220042bf9ad4,116,supporting,none_detected,official_lda_activity_text,reviewed_direction_signal_on_other_measure,current_bill_reference_without_confirmed_support,supporting_word_from_supporting_expanded_review_bill_title_not_s_3373,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Support word appears in a separate bill title while S3373 is listed without direction,H.R. 3967 / S. 3373 -- the Honoring Our PACT Act of 2022 S. 437 -- the Veterans Burn Pits Exposure Recognition Act of 2021 S. 2102 -- the Supporting Expanded Review for Veterans in Combat E...,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/ec2754ad-4789-4415-92e9-4d1bf8d9f2cf/; https://lda.gov/filings/public/filing/ec2754ad-4789-4415-92e9-4d1bf8d9f2cf/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
17,71,25dfa8d26ae8a5c6,117-s-3373,117-168,Armed Forces and National Security,MILITARY OFFICERS ASSOCIATION OF AMERICA,MILITARY OFFICERS ASSOCIATION OF AMERICA,Veterans,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,2,506eedee462cb0ed; d422685c3071cc47,117; 124,supporting,none_detected,official_lda_activity_text,reviewed_direction_signal_on_other_measure,current_bill_reference_without_confirmed_support,supporting_word_from_supporting_families_of_the_fallen_act_not_s_3373,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Support word appears in another bill title while S3373 is listed without direction,"...ts Act; S. 1198: Solid Start Act of 2022; S. 2172: Building Solutions for Veterans Experiencing Homelessness Act of 2021; S. 2794: Supporting Families of the Fallen Act; S. 3373: Honoring our PACT Act of 2022; S. 4580: Lactation Spaces for Veteran Moms Act; S. 4766: A bill to amend title 38, United States Code, to revise the rules for approval b... || ...Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".; S. 2794: Supporting Families of the Fallen Act; S. 3373: Sergeant First Class Heath Robinson Honoring our Promise to Address Comprehensive Toxics Act of 2022; S. 3388: Veterans Benefits Improvement Act of 2021; S. 4276: Helpi...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/2fa03f17-7b2f-4640-a099-22381ae33155/; https://lda.gov/api/v1/filings/eecc1617-71dd-43b8-a93e-4fe7ff56d432/; https://lda.gov/filings/public/filing/2fa03f17-7b2f-4640-a099-22381ae33155/print/; https://lda.gov/filings/public/filing/eecc1617-71dd-43b8-a93e-4fe7ff56d432/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
18,72,4d3024ddc958fc76,117-s-3373,117-168,Armed Forces and National Security,NATIONAL NURSES UNITED,NATIONAL NURSES UNITED,Veterans,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,1ad6da5fd22080e8,118,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_s_3373_support_for_pact_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for PACT Act in the current bill context only,"...nd NLRB reform S. 1567 Support for Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act S. 420 Support for Union Organizing, PRO Act and NLRB reform S. 3373 Support for PACT Act S. 4182 Support for Workplace Violence Prevention for Health Care and Social Service Workers Act S. 771 Support for VA Employee Fairness Act Support...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/31bb220a-be81-4839-a104-b94587e46fb9/; https://lda.gov/filings/public/filing/31bb220a-be81-4839-a104-b94587e46fb9/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
19,73,7c5d323658cb58c1,117-s-3373,117-168,Armed Forces and National Security,NATIONAL NURSES UNITED,NATIONAL NURSES UNITED,Health Issues,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,32263ef81797e6e5,119,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_s_3373_support_for_pact_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for PACT Act in the current bill context only,...are Employees (SAVE) Act H.R. 8296 Support for Womens Health Protection Act S. 1567 Support for Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act S. 3373 Support for PACT Act S. 4132 Support for Womens Health Protection Act S. 4182 Support for Workplace Violence Prevention for Health Care and Social Service Workers Act S....,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/31bb220a-be81-4839-a104-b94587e46fb9/; https://lda.gov/filings/public/filing/31bb220a-be81-4839-a104-b94587e46fb9/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
20,74,6a7eaa75296e7f78,117-s-3373,117-168,Armed Forces and National Security,NATIONAL NURSES UNITED,NATIONAL NURSES UNITED,Budget/Appropriations,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,87b6bc82aed4a985,120,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_s_3373_support_for_pact_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for PACT Act in the current bill context only,...are Employees (SAVE) Act H.R. 8296 Support for Womens Health Protection Act S. 1567 Support for Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act S. 3373 Support for PACT Act S. 4132 Support for Womens Health Protection Act S. 4182 Support for Workplace Violence Prevention for Health Care and Social Service Workers Act S....,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/31bb220a-be81-4839-a104-b94587e46fb9/; https://lda.gov/filings/public/filing/31bb220a-be81-4839-a104-b94587e46fb9/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
21,75,52764301e936dbcd,117-s-3373,117-168,Armed Forces and National Security,NATIONAL NURSES UNITED,NATIONAL NURSES UNITED,Government Issues,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,a9633313a811399a,121,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_s_3373_support_for_pact_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for PACT Act in the current bill context only,"...nd NLRB reform S. 1567 Support for Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act S. 420 Support for Union Organizing, PRO Act and NLRB reform S. 3373 Support for PACT Act S. 4132 Support for Womens Health Protection Act S. 4182 Support for Workplace Violence Prevention for Health Care and Social Service Workers Act S....",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3373; https://lda.gov/api/v1/filings/31bb220a-be81-4839-a104-b94587e46fb9/; https://lda.gov/filings/public/filing/31bb220a-be81-4839-a104-b94587e46fb9/print/; https://www.congress.gov/bill/117th-congress/s-bill/3373,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
22,78,870a9a2a8d6a8393,117-s-3580,117-146,Transportation and Public Works,AUTO CARE ASSOCIATION,AUTO CARE ASSOCIATION,Trade (domestic/foreign),medium_opposition_disposition_packet_needs_confirmation,opposition_text_signal_needs_manual_confirmation,1,93d971808cd85114,125,none_detected,oppose,official_lda_activity_text,reviewed_current_bill_support_with_opposition_signal_correction,confirmed_support_for_current_bill_despite_unrelated_opposition_signal,activity_text_supports_ocean_shipping_reform_act_hr4996_and_s3580_while_opposition_signal_belongs_to_232_auto_parts,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Original opposition packet is corrected to current-bill support because the opposition phrase concerns auto parts not S3580,...f tariffs on steel and aluminum as well as Section 301 investigation proposed tariffs; opposed 232 auto parts. Supported passage of Ocean Shipping Reform Act HR 4996 and S 3580.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3580; https://lda.gov/api/v1/filings/6f967ba7-fbbe-47da-b146-badac27bcec4/; https://lda.gov/filings/public/filing/6f967ba7-fbbe-47da-b146-badac27bcec4/print/; https://www.congress.gov/bill/117th-congress/s-bill/3580,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
23,86,168b19285da29d85,117-s-3580,117-146,Transportation and Public Works,PENNSYLVANIA FARM BUREAU,PENNSYLVANIA FARM BUREAU,Trade (domestic/foreign),medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,123fb03c88ea179c,133,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_support_for_following_s_3580_ocean_shipping_reform_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for the current bill only,"Support for the following: S. 3580 / H.R. 4996, the Ocean Shipping Reform Act of 2021, which would help address port congestion, refusal of carriers to load U.S. ag exports, and other unfair practices. Su...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3580; https://lda.gov/api/v1/filings/3137389a-9fe6-49ec-a2ee-cf19a2b2f6f4/; https://lda.gov/filings/public/filing/3137389a-9fe6-49ec-a2ee-cf19a2b2f6f4/print/; https://www.congress.gov/bill/117th-congress/s-bill/3580,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
24,87,2ac16d72b3c3597d,117-s-3580,117-146,Transportation and Public Works,PENNSYLVANIA FARM BUREAU,PENNSYLVANIA FARM BUREAU,Transportation,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,89646eab7b6cc2c6,134,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_support_for_following_s_3580_ocean_shipping_reform_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for the current bill only,"Support for the following: S. 3580 / H.R. 4996, the Ocean Shipping Reform Act of 2021, which would help address port congestion, refusal of carriers to load U.S. ag exports, and other unfair practices. Ge...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/3580; https://lda.gov/api/v1/filings/3137389a-9fe6-49ec-a2ee-cf19a2b2f6f4/; https://lda.gov/filings/public/filing/3137389a-9fe6-49ec-a2ee-cf19a2b2f6f4/print/; https://www.congress.gov/bill/117th-congress/s-bill/3580,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
25,94,cce61ab8806655fb,117-s-4900,117-183,Commerce,AMERICAN SMALL MANUFACTURING COALITION,"K&L GATES, LLP",Manufacturing,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,b51f097820df626e,142,in_support_of,none_detected,official_lda_activity_text,reviewed_direction_signal_on_other_measure,current_bill_reference_without_confirmed_support,support_phrase_tied_to_hr_4346_mep_provisions_not_s_4900_all_provisions,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Support phrase applies to HR4346 while S4900 is listed as all provisions,H.R. 4346 - CHIPS and Science Act - in support of MEP provisions. H.R. 7900/S. 4543 National Defense Authorization Act - issues related to manufacturing. S. 4900 SBIR and STTR Extension Act - all provisions.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/s/4900; https://lda.gov/api/v1/filings/0ef1feb2-7397-4884-92d3-90f0ea3f6c91/; https://lda.gov/filings/public/filing/0ef1feb2-7397-4884-92d3-90f0ea3f6c91/print/; https://www.congress.gov/bill/117th-congress/s-bill/4900,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
