bridge_rank,review_rank,target_review_packet_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,target_section_key,target_base_section_key,target_subsection,target_reference_key,normalized_title,normalized_section,target_is_note,review_status,source_reviewed_target_section_diff,codified_lineage_relationship,target_lifecycle_status,bridge_evidence_grade,authority_base_section_match,authority_base_section_citations,authority_exact_target_reference_match,authority_exact_target_reference_citations,public_law_authority_rule_rows,public_law_authority_text_verified_rows,public_law_authority_document_numbers,public_law_authority_usc_citation_count,implementation_history_final_rule_rows,implementation_history_matched_final_rule_rows,implementation_history_proposed_rule_links,implementation_history_proposed_document_numbers,implementation_comment_metadata_rows,implementation_comment_metadata_statuses,implementation_comment_metadata_final_comment_count_rows,implementation_comment_metadata_final_comment_count_total,implementation_comment_metadata_proposed_comment_url_count,implementation_comment_metadata_proposed_comment_urls,court_base_section_overlap,court_base_section_overlap_case_count,court_base_section_overlap_case_ids,court_base_section_overlap_usc_sections,court_exact_target_reference_overlap,court_exact_target_reference_case_count,court_exact_target_reference_case_ids,raw_scdb_target_base_section_overlap,raw_scdb_target_base_section_case_count,raw_scdb_target_base_section_case_ids,raw_scdb_target_base_section_usc_sections,raw_scdb_target_base_section_pre_enactment_case_count,raw_scdb_target_base_section_post_enactment_case_count,raw_scdb_target_base_section_missing_date_case_count,raw_scdb_target_base_section_decision_range,raw_scdb_target_reference_overlap,raw_scdb_target_reference_case_count,raw_scdb_target_reference_case_ids,raw_scdb_target_reference_post_enactment_case_count,public_law_court_overlap_case_count,public_law_court_overlap_case_ids,public_law_court_overlap_usc_sections,public_law_direct_review_rows,public_law_direct_review_direct_rows,public_law_direct_review_not_direct_rows,public_law_direct_review_determinations,spine_evidence_layers,evidence_layers,missing_links,claim_boundary
17,17,11,117-hr-1437,117-229,2022-12-16,42 USC 1396d(ff),direct_us_code_reference,42 USC 1396d,42 USC 1396d,(ff),42 USC 1396d(ff),42,1396d,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,3,3,2025-14681; 2023-16252; 2024-17021,23,3,1,2,2024-07567; 2024-12164,3,final_and_proposed_comment_metadata; final_comment_metadata_only,3,0,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2024-0131,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,10,1952-008; 1954-048; 1961-012; 1969-007; 1983-084; 1983-145; 1994-055; 1997-024; 2003-032; 2010-010,18 U.S.C. 1001; 5 U.S.C. 552,10,0,10,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
18,18,12,117-hr-1437,117-229,2022-12-16,42 USC 282 note,direct_us_code_reference,42 USC 282 note,42 USC 282 note,,42 USC 282 note,42,282,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,3,3,2025-14681; 2023-16252; 2024-17021,23,3,1,2,2024-07567; 2024-12164,3,final_and_proposed_comment_metadata; final_comment_metadata_only,3,0,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=CMS-2024-0131,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,10,1952-008; 1954-048; 1961-012; 1969-007; 1983-084; 1983-145; 1994-055; 1997-024; 2003-032; 2010-010,18 U.S.C. 1001; 5 U.S.C. 552,10,0,10,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
19,19,23,117-hr-6833,117-180,2022-09-30,18 USC 3551 note,direct_us_code_reference,18 USC 3551 note,18 USC 3551 note,,18 USC 3551 note,18,3551,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2023-18457; 2022-26814; 2022-27236; 2022-24728; 2024-29353; 2025-14681,33,6,1,1,2023-20123,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,219,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=USCIS-2023-0012,0,0,,,0,0,,1,2,1988-023; 1991-043,18 U.S.C. 3551,2,0,0,1989-01-18..1992-03-09,0,0,,0,6,1957-118; 1959-047; 1973-124; 1989-030; 2003-032; 2010-010,28 U.S.C. 1346; 29 U.S.C. 206; 44 U.S.C. 3501; 5 U.S.C. 552,6,0,6,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; raw_scdb_target_base_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; source_reviewed_raw_scdb_target_section_disposition; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
20,20,24,117-hr-6833,117-180,2022-09-30,18 USC 1 note,direct_us_code_reference,18 USC 1 note,18 USC 1 note,,18 USC 1 note,18,1,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2023-18457; 2022-26814; 2022-27236; 2022-24728; 2024-29353; 2025-14681,33,6,1,1,2023-20123,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,219,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=USCIS-2023-0012,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,6,1957-118; 1959-047; 1973-124; 1989-030; 2003-032; 2010-010,28 U.S.C. 1346; 29 U.S.C. 206; 44 U.S.C. 3501; 5 U.S.C. 552,6,0,6,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
21,21,25,117-hr-6833,117-180,2022-09-30,18 USC 3014(a),title_code_section_phrase,18 USC 3014,18 USC 3014,(a),18 USC 3014(a),18,3014,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2023-18457; 2022-26814; 2022-27236; 2022-24728; 2024-29353; 2025-14681,33,6,1,1,2023-20123,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,219,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=USCIS-2023-0012,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,6,1957-118; 1959-047; 1973-124; 1989-030; 2003-032; 2010-010,28 U.S.C. 1346; 29 U.S.C. 206; 44 U.S.C. 3501; 5 U.S.C. 552,6,0,6,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
22,22,28,117-hr-7776,117-263,2022-12-23,10 USC 101 note,direct_us_code_reference,10 USC 101 note,10 USC 101 note,,10 USC 101 note,10,101,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-08148; 2026-11505; 2024-11825; 2025-20727; 2024-14121; 2024-29227,35,6,2,2,2024-15091; 2024-16335,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,0,2,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DARS-2024-0023; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DOD-2024-OS-0006,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,3,1998-047; 1999-068; 2000-076,18 U.S.C. 6002; 19 U.S.C. 1202,3,0,3,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
23,23,29,117-hr-7776,117-263,2022-12-23,10 USC 8696,direct_us_code_reference,10 USC 8696,10 USC 8696,,10 USC 8696,10,8696,0,reviewed_added_target_section_diff,1,added_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-08148; 2026-11505; 2024-11825; 2025-20727; 2024-14121; 2024-29227,35,6,2,2,2024-15091; 2024-16335,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,0,2,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DARS-2024-0023; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DOD-2024-OS-0006,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,3,1998-047; 1999-068; 2000-076,18 U.S.C. 6002; 19 U.S.C. 1202,3,0,3,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
24,24,31,117-hr-7776,117-263,2022-12-23,10 USC 8696 note,direct_us_code_reference,10 USC 8696 note,10 USC 8696 note,,10 USC 8696 note,10,8696,1,reviewed_added_target_section_diff,1,added_target_section_with_effective_date_note,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-08148; 2026-11505; 2024-11825; 2025-20727; 2024-14121; 2024-29227,35,6,2,2,2024-15091; 2024-16335,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,0,2,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DARS-2024-0023; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DOD-2024-OS-0006,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,3,1998-047; 1999-068; 2000-076,18 U.S.C. 6002; 19 U.S.C. 1202,3,0,3,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
25,25,32,117-hr-7776,117-263,2022-12-23,10 USC 9062(j),title_code_section_phrase,10 USC 9062,10 USC 9062,(j),10 USC 9062(j),10,9062,0,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,6,6,2026-08148; 2026-11505; 2024-11825; 2025-20727; 2024-14121; 2024-29227,35,6,2,2,2024-15091; 2024-16335,6,final_and_proposed_comment_metadata; final_comment_metadata_only,6,0,2,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DARS-2024-0023; https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=DOD-2024-OS-0006,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,3,1998-047; 1999-068; 2000-076,18 U.S.C. 6002; 19 U.S.C. 1202,3,0,3,temporally_excluded_before_public_law_enactment,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing; court_review_usc_section_authority_overlap; scdb_law_minor_usc_section,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; public_law_court_usc_section_overlap_context; court_public_law_direct_review_disposition; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
26,26,33,117-hr-6604,117-297,2022-12-27,38 USC 101 note,direct_us_code_reference,38 USC 101 note,38 USC 101 note,,38 USC 101 note,38,101,1,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,target_diff_with_public_law_lifecycle_context_only,public_law_context_only,0,,0,,1,1,2024-18345,14,1,1,1,2023-03964,1,final_and_proposed_comment_metadata,1,0,1,https://www.regulations.gov/docketBrowser?rpp=50&so=DESC&sb=postedDate&po=0&dct=PS&D=VA-2023-VBA-0010,0,0,,,0,0,,0,0,,,0,0,0,,0,0,,0,0,,,0,0,0,,bill_action_metadata; law_revision_text_proxy; official_olrc_public_law_marker_adjudication; official_olrc_post_only_public_law_marker; statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; sponsor_district_public_opinion_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; campaign_finance_sponsor_policy_area_context; lobbying_issue_bill_policy_area_context; official_lda_filing_text_bill_identifier; federal_register_authority_search_match; federal_register_authority_text_verified; federal_register_proposed_rule_history_match; proposed_rule_shared_identifier_match; proposed_rule_regulations_gov_comment_portal_metadata; federal_register_exposed_regulations_gov_comment_metadata; federal_register_final_effective_date_timing; federal_register_proposed_to_final_timing,statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff; public_law_federal_register_authority_context; public_law_rulemaking_history_context; public_law_federal_register_comment_metadata_context; bill_law_evidence_spine_context,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; complete_regulations_comments; implementation_outcomes_or_enforcement; direct_court_review_of_target_section; welfare_or_public_benefit; model_validation; exact_target_reference_implementation_authority; exact_target_reference_court_overlap; direct_case_to_public_law_identifier,"Target-section lifecycle bridge only; base U.S.C. section overlaps are metadata context and are not exact target-reference or subsection evidence. Raw SCDB target-section overlaps are date-screened section-citation context and do not prove review of the queued public law, bill, note, or subsection. Public-law-level rows remain context. This artifact does not establish implementation outcomes, direct court review of the target section, public-law causal attribution, law-revision effective text, welfare, causal effects, or model validation."
